	Gene ID	Gene Name_grp_1v2	Test statistic (Real)_grp_1v2	Test statistic (Real)_grp_1v2_raw	Adj P-value (Real)_grp_1v2	Mean test statistic (simulated)_grp_1v2	Std deviation (simulated)_grp_1v2	Median adj p-value (simulated)_grp_1v2	Test statistic (Real)_grp_1v4	Test statistic (Real)_grp_1v4_raw	Adj P-value (Real)_grp_1v4	Mean test statistic (simulated)_grp_1v4	Std deviation (simulated)_grp_1v4	Median adj p-value (simulated)_grp_1v4	Z score_grp_1v2	Z score_grp_1v4	max Z score
0	PA5530		4.255	4.255	8.781217508934929e-05	0.49472	0.4431347161605225	0.6587821131526179	0.427499999999998	0.427499999999998	0.294094048877987	0.13284	0.1137126055750488	0.929139260614198	8.485636224984603	2.5912694420279236	8.485636224984603
1	PA0523	norC	3.5580000000000003	-3.5580000000000003	0.00130276043595332	0.4568200000000002	0.2900275087527617	0.856209066190708	1.2045	-1.2045	0.0139468139015149	0.24291999999999964	0.2501923293521736	0.942003875103156	10.692709851339126	3.8433632337563366	10.692709851339126
2	PA0524	norB	3.2585	-3.2585	0.00130276043595332	0.5704399999999996	0.33189046009188045	0.698655367590459	0.973500000000001	-0.973500000000001	0.0309665152339325	0.2452800000000002	0.22366288248164928	0.9164044680666592	8.099238523625653	3.255882209511221	8.099238523625653
3	PA5332	crc	2.938	-2.938	0.0530709759581141	0.11007999999999983	0.0793609475749883	0.9505969739097327	0.355500000000003	-0.355500000000003	0.517578368622792	0.08511999999999963	0.06478028249398099	0.929139260614198	35.633647107450344	4.173800878764698	35.633647107450344
4	PA3874	narH	2.823	-2.823	0.00625019228917303	0.3377000000000004	0.22956131170851324	0.8268626925666441	2.248	-2.248	0.00018252616379591002	0.17955999999999978	0.1672142662374638	0.940064097982993	10.826301616344324	12.369997169156449	12.369997169156449
5	PA4131		2.7960000000000003	-2.7960000000000003	0.0102572433220053	0.9391200000000001	0.4648798518613886	0.6329305320152969	1.5115	-1.5115	0.0030538672939520303	0.3200400000000001	0.1955273275870492	0.9164044680666592	3.994322387956832	6.093572774217759	6.093572774217759
6	PA3875	narG	2.7605	-2.7605	0.00329542367948171	0.39764000000000016	0.23626589540882384	0.807993459355642	2.2505	-2.2505	0.000488063762378521	0.1853399999999995	0.1436457390016608	0.919298059588922	10.00085093073384	14.376757809545074	14.376757809545074
7	PA3392	nosZ	2.653	-2.653	0.00130276043595332	0.5919999999999997	0.3388661240076971	0.7811269428487241	1.7275	-1.7275	0.000565738009069425	0.22916000000000006	0.17093454644005282	0.9164044680666592	6.082047906190783	8.765577416648611	8.765577416648611
8	PA0518	nirM	2.619	-2.619	0.00130276043595332	0.8539599999999997	0.4185139115569121	0.6587821131526179	1.356	-1.356	0.00277414900715557	0.3591600000000001	0.2289184134140373	0.9164044680666592	4.217398636604171	4.35456451551168	4.35456451551168
9	PA0997	pqsB	2.5095	-2.5095	0.0456084808009459	0.7405200000000004	0.5125273464248843	0.6587821131526179	1.7235	-1.7235	0.00352850829111765	0.2872399999999994	0.15994576685030867	0.9164044680666592	3.4514841253631725	8.979668723237793	8.979668723237793
10	PA0755	opdH	2.4905	2.4905	0.00130276043595332	0.10894000000000004	0.07249027520985163	0.93153371097495	0.264000000000001	-0.264000000000001	0.7717249474920641	0.13063999999999987	0.1378277548246364	0.9164044680666592	32.853510255074056	0.967584505527789	32.853510255074056
11	PA4133		2.4635	-2.4635	0.00822749482601912	0.9487800000000002	0.4510691715247229	0.6587821131526179	1.6195	-1.6195	0.00722952889900073	0.2824399999999998	0.2142050380671132	0.927448853894017	3.35806589237717	6.241963364003987	6.241963364003987
12	PA0515		2.2875	-2.2875	0.00158009116573401	0.7007799999999998	0.3810792262334261	0.698655367590459	0.9514999999999988	-0.9514999999999988	0.00820766239755088	0.2629200000000001	0.19829442965785327	0.929139260614198	4.163753599699163	3.472513076580656	4.163753599699163
13	PA3190		2.2365	-2.2365	0.00948374212558262	0.1806600000000006	0.14919930183035998	0.92347201037686	2.3280000000000003	-2.3280000000000003	0.00282914011834428	0.23768000000000006	0.2864955598841513	0.94470730271279	13.779152950310015	7.2961689208909615	13.779152950310015
14	PA3187		2.216	-2.216	0.00857644317639251	0.2267	0.14586409199434008	0.8924994014279599	1.937	-1.937	0.0108853159292135	0.2605200000000002	0.2941052277672057	0.9164044680666592	13.638037798070204	5.700272697386361	13.638037798070204
15	PA3584	glpD	2.2155	-2.2155	0.007599669686430459	0.43646	0.3399402190091664	0.7570009833318659	0.0015000000000000599	0.0015000000000000599	0.999268946639259	0.23059999999999994	0.1714967808249866	0.9169675394731428	5.2333907567201665	-1.3358851338078337	5.2333907567201665
16	PA0998	pqsC	2.195	-2.195	0.058130245414931	0.6850199999999999	0.500511727301835	0.6587821131526179	1.736	-1.736	0.00580787225130534	0.3107799999999997	0.15773514721414078	0.905097455735291	3.0168723680861973	9.035525849322127	9.035525849322127
17	PA2195	hcnC	2.152	-2.152	0.0137905307608391	0.6248600000000002	0.33209808164657184	0.6587821131526179	0.618499999999999	-0.618499999999999	0.3721356098992461	0.21463999999999991	0.181123203924842	0.939500031482848	4.5984607692652215	2.2297529595798387	4.5984607692652215
18	PA4587	ccpR	2.1515	-2.1515	0.00330561108985099	1.1936200000000001	0.4743899872467798	0.5488815952719489	1.6909999999999998	-1.6909999999999998	0.000794019955554629	0.38996	0.211169014062196	0.8934534717269151	2.019182583425199	6.161131195208415	6.161131195208415
19	PA0999	pqsD	2.13	-2.13	0.0208291680335675	0.6694	0.4699884528723374	0.6740393429707049	1.2275	-1.2275	0.0116975609665171	0.2507599999999999	0.16602077681222116	0.948259654274415	3.1077359264329445	5.883239548413558	5.883239548413558
20	PA3452	mqoA	2.125	2.125	0.00327878227580453	0.6334199999999993	0.2837319627159878	0.5488815952719489	0.515000000000001	0.515000000000001	0.293366121987565	0.1361	0.09438341573956016	0.8934534717269151	5.257003778220977	4.014476452574367	5.257003778220977
21	PA0517	nirC	2.0885	-2.0885	0.00337811099736005	0.7493199999999999	0.4064131436522854	0.6740393429707049	1.009	-1.009	0.0269436962183308	0.3365799999999997	0.2139157096459572	0.903419209949188	3.295119808294785	3.1433876507382013	3.295119808294785
22	PA2110		2.083	2.083	0.0530709759581141	0.3070599999999998	0.23393283045922905	0.7698983485510641	0.0554999999999994	0.0554999999999994	0.974305475081682	0.2807599999999998	0.19895770697981666	0.8934534717269151	7.591666362150566	-1.1322004229916665	7.591666362150566
