	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA1985	PA1985	0.000230031397414969	5549.0	2.872	0.8934534717269151	5500.0	0.3411600000000002	0.28022147936944464	25	9.0315703339191	pqqA
PA1249	PA1249	0.00018252616379591002	5548.0	2.5525	0.9189250136109659	5481.0	0.25962	0.24380423670095078	25	9.404594567453875	aprA
PA1988	PA1988	0.000230031397414969	5547.0	2.419	0.8898138072829251	5438.0	0.2767399999999996	0.17587851631168638	25	12.180339275796223	pqqD
PA4739	PA4739	0.000488063762378521	5546.0	2.1275	0.9164044680666591	5138.5	0.13126000000000018	0.33018514755613515	25	6.0458200944990015	
PA3479	PA3479	0.000794019955554629	5545.0	2.004	0.8898138072829251	5498.0	0.2082999999999999	0.32677951919706744	25	5.495142426343698	rhlA
PA3334	PA3334	0.0019670371991002	5544.0	1.9125	0.8934534717269151	5146.0	0.1336600000000001	0.24946658593887866	25	7.130574194156127	
PA1987	PA1987	0.000488063762378521	5543.0	1.868	0.8898138072829251	5420.0	0.2490800000000004	0.1533173913814081	25	10.55927175262595	pqqC
PA2444	PA2444	0.00111234191402757	5542.0	1.8535	0.9224259287074371	2950.5	0.04986000000000007	0.27088979616564846	25	6.658205755734994	glyA2
PA1216	PA1216	0.000488063762378521	5541.0	1.835	0.8934534717269151	5507.0	0.36827999999999994	0.18420884207876734	25	7.962267084730023	
PA1175	PA1175	0.000703245522148271	5540.0	1.808	0.8898138072829251	5516.0	0.3448400000000001	0.20064114524859164	25	7.29242248984955	napD
PA1041	PA1041	0.00111234191402757	5539.0	1.7925	0.8898138072829251	5549.0	0.46129999999999993	0.2240233897758598	25	5.94223666257302	
PA4738	PA4738	0.00110185152861795	5538.0	1.777	0.9072241807731579	4886.0	0.1593199999999996	0.3058202385934153	25	5.289643378215685	
