	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA5172	PA5172	0.0002260792942002	5549.0	5.0666868584	-5.0666868584	0.5660842574077989	5540.0	99.83777937995674	0.0	0.5295399999999991	0.26624295452336993	25	17.041378114671367	arcB
PA5171	PA5171	0.0002260792942002	5548.0	4.749349699150001	-4.749349699150001	0.546050471248386	5544.0	99.9098774333093	0.0	0.5352199999999993	0.24313251188052418	25	17.332645751715976	arcA
PA5170	PA5170	0.000228230204647273	5547.0	4.70544800015	-4.70544800015	0.546050471248386	5549.0	100.0	0.0	0.6088200000000004	0.2462659842527997	25	16.634973005223017	arcD
PA4067	PA4067	0.0002260792942002	5546.0	4.4351608127499995	-4.4351608127499995	0.5660842574077989	5541.0	99.85580389329488	0.0	0.44405999999999957	0.20452191814081952	25	19.51429386654787	oprG
PA1557	PA1557	0.000228230204647273	5545.0	4.3226282058	-4.3226282058	0.5275091795635429	5548.0	99.98197548666187	0.0	0.60256	0.24715634053502802	25	15.05147793395483	ccoN2
PA1673	PA1673	0.00037850687829030097	5544.0	4.2746746086	-4.2746746086	0.5660842574077989	5526.0	99.58543619322279	0.0	0.47825999999999963	0.2057941487668358	25	18.44763143825497	
PA3309	PA3309	0.0002260792942002	5543.0	4.0698426418	-4.0698426418	0.728140262368655	5508.0	99.26099495313626	0.0	0.36179999999999957	0.18126528671167713	25	20.456440993570162	
PA1546	PA1546	0.00023979242484471001	5542.0	3.92873444515	-3.92873444515	0.5956608940540171	5532.5	99.7025955299207	0.0	0.4216399999999997	0.17336741571971742	25	20.229259521408043	hemN
PA5427	PA5427	0.000666943402213415	5541.0	3.7186797376	-3.7186797376	0.728140262368655	5522.0	99.51333813987023	0.0	0.41890000000000005	0.23964661483108857	25	13.76935676694537	adhA
PA0524	PA0524	0.000801488808206962	5540.0	3.62998070385	-3.62998070385	0.76372401525418	5471.0	98.59408795962509	0.0	0.3357200000000003	0.2250503221504025	25	14.637884862250608	norB
PA3572	PA3572	0.0032170466716971396	5539.0	3.55334879575	-3.55334879575	0.624323583174292	5489.0	98.91852919971161	0.0	0.3469600000000001	0.2075032088105307	25	15.452237168427233	
