	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA1985	PA1985	0.0002263343583555	5549.0	2.8723853398	2.8723853398	0.598970204550306	5509.0	0.5536199999999998	0.46441043000776794	25	4.992922617524365	pqqA
PA1249	PA1249	0.000179503510708183	5548.0	2.55193327065	2.55193327065	0.7326839088292679	5086.0	0.29853999999999986	0.2885606854141201	25	7.80907928401994	aprA
PA1988	PA1988	0.0002263343583555	5547.0	2.4185009949	2.4185009949	0.598970204550306	5457.0	0.41131999999999996	0.24915749202729856	25	8.055872526924	pqqD
PA3190	PA3190	0.00281124347275956	5546.0	2.328511669	-2.328511669	0.67990905855374	5167.5	0.30213999999999996	0.25727046889735866	25	7.876425450946128	
PA3875	PA3875	0.00048195720812264903	5545.0	2.2505648999	-2.2505648999	0.754094896463158	5100.5	0.25256	0.23632182858692202	25	8.45459309386272	narG
PA3874	PA3874	0.000179503510708183	5544.0	2.2477108107	-2.2477108107	0.7172804900557279	5419.0	0.2937400000000006	0.27128994022386177	25	7.202518490319365	narH
PA1073	PA1073	0.00349521104805906	5543.0	2.1495345664	-2.1495345664	0.681306377605756	4864.0	0.22272000000000067	0.1548465692225691	25	12.44337912085406	braD
PA1123	PA1123	0.000967431852892909	5542.0	2.13945741905	-2.13945741905	0.7546289526792499	4919.5	0.19142000000000015	0.13749005115522622	25	14.168570036028763	
PA4739	PA4739	0.00048195720812264903	5541.0	2.1273184311	2.1273184311	0.7172804900557279	5493.0	0.4582599999999997	0.3666522853240292	25	4.552156083317382	
PA3479	PA3479	0.0007851952465582	5540.0	2.0042692771	2.0042692771	0.7748739183363821	5085.0	0.21412000000000003	0.16344929641940906	25	10.952321706582921	rhlA
PA1070	PA1070	0.00048195720812264903	5539.0	1.9883127971	-1.9883127971	0.7391752013124501	4532.5	0.15211999999999962	0.11408131968030501	25	16.09547296827949	braG
PA1999	PA1999	0.0605404525867232	5538.0	1.9523355767500001	-1.9523355767500001	0.634923405052851	5465.0	0.45663999999999993	0.4306391693363092	25	3.4731991032193625	dchA
PA3187	PA3187	0.0107664774721779	5537.0	1.9369069789	-1.9369069789	0.7295933715795941	5113.5	0.24849999999999997	0.20376763727343944	25	8.285942760548853	
PA3334	PA3334	0.0019418105756619103	5536.0	1.9123272238	1.9123272238	0.8137183702387359	4733.5	0.17969999999999986	0.14082509837856821	25	12.303397929411169	
PA2000	PA2000	0.0382488953365206	5535.0	1.89613978985	-1.89613978985	0.7345731759510409	5486.0	0.4099599999999999	0.3989780413757128	25	3.724966378414001	dchB
PA1987	PA1987	0.00048195720812264903	5534.0	1.86791937495	1.86791937495	0.598970204550306	5416.0	0.31375999999999943	0.1964637434744644	25	7.910667624797673	pqqC
PA4500	PA4500	0.0010959475021229401	5533.0	1.86382656	-1.86382656	0.7454037085506401	5070.0	0.28286000000000044	0.23369288607058622	25	6.7651462848658275	dppA3
PA2444	PA2444	0.0010959475021229401	5532.0	1.85308405735	1.85308405735	0.903613695011532	5003.0	0.23092000000000015	0.2722274891213838	25	5.958854715905239	glyA2
PA5167	PA5167	0.00048195720812264903	5531.0	1.8370965257499998	-1.8370965257499998	0.7613653427907979	4915.0	0.22713999999999948	0.21689011810899383	25	7.422913223464374	dctP
PA1216	PA1216	0.00048195720812264903	5530.0	1.83501018495	1.83501018495	0.73732521039443	4998.5	0.22838000000000033	0.16495392538524237	25	9.73987239890041	
PA0130	PA0130	0.00048195720812264903	5529.0	1.8288059207	-1.8288059207	0.819401055084739	3989.0	0.13142000000000015	0.08837734909654957	25	19.20611941919255	bauC
PA1338	PA1338	0.00048195720812264903	5528.0	1.80795343895	-1.80795343895	0.7879417434927329	4956.0	0.20658000000000004	0.1735152899122532	25	9.22900477392981	ggt
PA1175	PA1175	0.000693330717915687	5527.0	1.8079226214500002	1.8079226214500002	0.607833443230081	5533.0	0.5367000000000002	0.2155164823549846	25	5.898493737273076	napD
PA1041	PA1041	0.0010959475021229401	5526.0	1.7923524903999999	1.7923524903999999	0.598970204550306	5542.0	0.6649399999999995	0.3346281617955471	25	3.3691500570380346	
PA3873	PA3873	0.000558293309304104	5525.0	1.77936425695	-1.77936425695	0.7172804900557279	5037.0	0.2826799999999999	0.233215515493002	25	6.417601563884417	narJ
PA4738	PA4738	0.0010829482072749	5524.0	1.7771306972	1.7771306972	0.672827496832709	5474.0	0.38817999999999986	0.2850240077607504	25	4.873100719171305	
PA3329	PA3329	0.000812383821383854	5523.0	1.75905513355	1.75905513355	0.806443124415754	4857.5	0.1978399999999999	0.18928509802235655	25	8.247955860559104	
PA0998	PA0998	0.00576768888253295	5522.0	1.7356995024500002	-1.7356995024500002	0.613037522530151	5408.0	0.35749999999999965	0.21843753874582444	25	6.309352826272611	pqsC
PA3038	PA3038	0.00773948438627362	5521.0	1.7354140650999998	-1.7354140650999998	0.6191700908338089	5302.0	0.34430000000000005	0.25879069728257226	25	5.375440770117982	opdQ
PA3333	PA3333	0.00272815197023338	5520.0	1.73457056855	1.73457056855	0.780423762940936	5156.5	0.22077999999999992	0.19927750123885069	25	7.596394771809166	fabH2
PA3872	PA3872	0.00048195720812264903	5519.0	1.73400467685	-1.73400467685	0.627831040772867	5176.0	0.3228800000000001	0.27499535147586246	25	5.131449201874456	narI
PA1072	PA1072	0.0008338357240775339	5518.0	1.73162740155	-1.73162740155	0.8039307806422881	4481.0	0.17370000000000016	0.13275572806223238	25	11.735293265987623	braE
PA3331	PA3331	0.00185032170559843	5517.0	1.73113250065	1.73113250065	0.75142983785688	4159.5	0.20698000000000033	0.20378979570462605	25	7.479042291494879	
PA3392	PA3392	0.000558293309304104	5516.0	1.7272239212	-1.7272239212	0.663435486769639	5160.5	0.25153999999999993	0.20010705051713348	25	7.374472400579657	nosZ
PA2247	PA2247	0.00048195720812264903	5515.0	1.7263656318	-1.7263656318	0.819401055084739	5233.0	0.3459999999999998	0.39018078074998336	25	3.537759161655117	bkdA1
PA0997	PA0997	0.00349521104805906	5514.0	1.7236681423500002	-1.7236681423500002	0.6191700908338089	5500.0	0.40952000000000005	0.24583236496984417	25	5.345708416022457	pqsB
PA1984	PA1984	0.0117465743001657	5513.0	1.6972565391	-1.6972565391	0.8208565087766508	4449.0	0.24997999999999973	0.2927509066311041	25	4.943713260378442	exaC
PA4587	PA4587	0.0007851952465582	5512.0	1.6913840185	-1.6913840185	0.7326839088292679	5440.5	0.33999999999999936	0.22127264479219533	25	6.107325285369691	ccpR
PA0291	PA0291	0.0021719772002072603	5511.0	1.6397815703	-1.6397815703	0.655896773415428	5313.0	0.28644000000000003	0.20709485145700746	25	6.5348875685639705	oprE
PA4133	PA4133	0.00714573015614142	5510.0	1.6192640955500002	-1.6192640955500002	0.645352551155328	5497.0	0.4495000000000002	0.3278585823186574	25	3.5678922518278466	
PA0887	PA0887	0.000524495479448161	5509.0	1.61730409305	-1.61730409305	0.7023174665848539	4954.5	0.20613999999999968	0.1488520322333559	25	9.480314590785786	acsA
PA0996	PA0996	0.0021719772002072603	5508.0	1.5945952638	-1.5945952638	0.6191700908338089	5495.0	0.3985399999999998	0.2239037144250483	25	5.341828593023987	pqsA
PA0572	PA0572	0.00272815197023338	5507.0	1.57610983865	1.57610983865	0.8401634870139	4067.0	0.13576000000000008	0.10913143070017295	25	13.198304369409476	
PA3972	PA3972	0.00185032170559843	5506.0	1.57452997465	-1.57452997465	0.7555532640355559	3903.0	0.15825999999999996	0.1366620009366176	25	10.36330483194704	
PA1071	PA1071	0.0012281178654304599	5505.0	1.5630206991	-1.5630206991	0.7172804900557279	4477.0	0.2031000000000003	0.14473265584057612	25	9.396087504937105	braF
PA1337	PA1337	0.0012281178654304599	5504.0	1.5587708627	-1.5587708627	0.780561881199973	4818.0	0.2092599999999998	0.2049259073421412	25	6.585359948885708	ansB
PA2367	PA2367	0.00168318927252111	5503.0	1.5485180254	1.5485180254	0.598970204550306	5437.0	0.38412000000000035	0.2308278254457205	25	5.044443940636652	hcp3
PA2760	PA2760	0.160281102526458	5502.0	1.53041657995	-1.53041657995	0.7390300471354749	5210.5	0.22510000000000013	0.18519432361711274	25	7.048361712471965	oprQ
PA3915	PA3915	0.0012281178654304599	5501.0	1.5234185278	-1.5234185278	0.7454037085506401	4250.0	0.20596000000000025	0.21415035216719405	25	6.152025968985649	moaB1
PA3330	PA3330	0.006368859366072279	5500.0	1.5217340323500002	1.5217340323500002	0.819401055084739	4081.5	0.1799399999999995	0.15986891244599968	25	8.3930891367215	
PA4131	PA4131	0.0030332150047789603	5499.0	1.5114623566499998	-1.5114623566499998	0.7172804900557279	5517.0	0.43816000000000055	0.3175211843326365	25	3.3802543250960015	
PA2248	PA2248	0.00208398094161996	5498.0	1.50872063805	-1.50872063805	0.7330156331429699	5427.0	0.3723799999999999	0.3995469121392381	25	2.8440731326538113	bkdA2
PA1202	PA1202	0.0008544305007949349	5497.0	1.5076085307	1.5076085307	0.7189263574956779	5210.5	0.23588	0.1997876622817333	25	6.365400726830941	
PA0588	PA0588	0.0037253641634568103	5496.0	1.5068644536000002	1.5068644536000002	0.598970204550306	5536.0	0.4660599999999998	0.24681695815590413	25	4.216908195354093	
PA0132	PA0132	0.00274410716956264	5495.0	1.4927318548500002	-1.4927318548500002	0.7969351454710871	3339.5	0.14448000000000025	0.1182760260295105	25	11.399198130934868	bauA
PA3188	PA3188	0.0055163877855096705	5494.0	1.47240446	-1.47240446	0.7579807827156791	5014.5	0.2435400000000002	0.21000649394721133	25	5.851554572921423	
