	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA5530	PA5530	8.35305352319712e-05	5549.0	4.255346530950001	4.255346530950001	0.765355222948496	5163.0	0.3894	0.2685462405868556	25	14.395831877972768	
PA0523	PA0523	0.00126219340808834	5548.0	3.5580950455	-3.5580950455	0.8070519245944291	5277.0	0.45394000000000007	0.2878435744173097	25	10.784173493481081	norC
PA0524	PA0524	0.00126219340808834	5547.0	3.2588573480000003	-3.2588573480000003	0.8070519245944291	5324.5	0.5186999999999998	0.2946274483705367	25	9.30041434752493	norB
PA5332	PA5332	0.0523470300229102	5546.0	2.93795373615	-2.93795373615	0.9562735926435091	1794.0	0.08717999999999995	0.06850378335050737	25	41.614836388870565	crc
PA3874	PA3874	0.006108216246663921	5545.0	2.8229310557	-2.8229310557	0.8070519245944291	5372.0	0.4836399999999999	0.24868053971578385	25	9.406811881515006	narH
PA4131	PA4131	0.0100124094223292	5544.0	2.7962614657	-2.7962614657	0.765355222948496	5543.0	0.9666400000000003	0.44098749320889635	25	4.148919173164182	
PA3875	PA3875	0.00318629255555142	5543.0	2.7607463164999997	-2.7607463164999997	0.8070519245944291	5358.0	0.5025800000000002	0.26354734236312577	25	8.568351690637087	narG
PA3392	PA3392	0.00126219340808834	5542.0	2.6529990369	-2.6529990369	0.8070519245944291	5492.0	0.6047800000000002	0.24743816904430893	25	8.27770042435621	nosZ
PA0518	PA0518	0.00126219340808834	5541.0	2.6194127821	-2.6194127821	0.765355222948496	5545.0	0.8653199999999996	0.3319136082376459	25	5.284787181259807	nirM
PA0997	PA0997	0.0446387711532669	5540.0	2.50953938435	-2.50953938435	0.834540951262639	5489.0	0.61944	0.4077078028441445	25	4.635916632364609	pqsB
PA0755	PA0755	0.00126219340808834	5539.0	2.4904680711	2.4904680711	0.9035849428727929	2697.0	0.15031999999999987	0.16549596420054066	25	14.140212315173516	opdH
PA4133	PA4133	0.00796850999260003	5538.0	2.4637295786	-2.4637295786	0.8070519245944291	5535.0	0.8140800000000002	0.35001746027876907	25	4.713049392696432	
PA0515	PA0515	0.0015387481390901699	5537.0	2.2877538104	-2.2877538104	0.8070519245944291	5528.0	0.7431399999999999	0.28987254814257024	25	5.328596378986191	
PA3190	PA3190	0.00924470883314463	5536.0	2.236498068	-2.236498068	0.8942788131909549	4315.0	0.33977999999999997	0.3563907055465956	25	5.322018892414739	
PA3187	PA3187	0.0083573702612936	5535.0	2.2152800206	-2.2152800206	0.834540951262639	3952.0	0.3496399999999999	0.336380814702622	25	5.546214109295508	
PA3584	PA3584	0.007442006405206059	5534.0	2.21527074855	-2.21527074855	0.8137087197046808	4003.0	0.2906600000000005	0.2630926531978168	25	7.315334446465534	glpD
PA0998	PA0998	0.0568147584729197	5533.0	2.19490384285	-2.19490384285	0.834540951262639	5457.0	0.5626599999999999	0.3961317047397243	25	4.120457472401648	pqsC
PA2195	PA2195	0.0134318564141762	5532.0	2.15251751505	-2.15251751505	0.8070519245944291	5422.0	0.57378	0.23743416104961265	25	6.649159110344352	hcnC
PA4587	PA4587	0.00322453719548147	5531.0	2.1515116376499996	-2.1515116376499996	0.765355222948496	5547.0	1.03528	0.4745342909983779	25	2.3522675996745095	ccpR
PA0999	PA0999	0.020358701007828	5530.0	2.13006770655	-2.13006770655	0.8131938030514041	5430.0	0.5441599999999995	0.34225032627206275	25	4.633765360648117	pqsD
PA3452	PA3452	0.00318629255555142	5529.0	2.12495245015	2.12495245015	0.8070519245944291	5523.0	0.6474600000000003	0.32060668141301546	25	4.6084268850487495	mqoA
PA0517	PA0517	0.0033090880800490897	5528.0	2.0879889124	-2.0879889124	0.765355222948496	5521.0	0.7867599999999999	0.35182441525094116	25	3.698517942456864	nirC
PA2110	PA2110	0.0523470300229102	5527.0	2.08281827525	2.08281827525	0.7826233314660891	4789.0	0.34934	0.24136580640181793	25	7.181954648390262	
PA3919	PA3919	0.0123621351371459	5526.0	2.0757112313	-2.0757112313	0.831148750011818	5429.0	0.5031799999999996	0.23192297931281686	25	6.7804028559799425	
PA2113	PA2113	0.00518738005522009	5525.0	2.0664657017	2.0664657017	0.765355222948496	4805.5	0.3272799999999998	0.26044321518007196	25	6.677792318365894	opdO
PA0754	PA0754	0.00518738005522009	5524.0	2.028965026	2.028965026	0.9135499502037842	1617.5	0.1402600000000005	0.16269546705424826	25	11.608836190686494	
PA3873	PA3873	0.00506396911107386	5523.0	2.01703264425	-2.01703264425	0.8070519245944291	5098.0	0.4228999999999997	0.23221514808470173	25	6.8648951517518215	narJ
PA1657	PA1657	0.0083573702612936	5522.0	2.01492373885	-2.01492373885	0.765355222948496	5511.0	0.70096	0.24943623600698703	25	5.267733990394219	hsiB2
PA2193	PA2193	0.0355458401608346	5521.0	2.0123317206999998	-2.0123317206999998	0.765355222948496	5512.0	0.7544199999999995	0.3186341188050438	25	3.947824939204496	hcnA
PA4132	PA4132	0.0602427270766477	5520.0	2.0121415531499998	-2.0121415531499998	0.8070519245944291	5473.0	0.6419000000000002	0.31340133349003696	25	4.372162485369769	
PA0519	PA0519	0.006108216246663921	5519.0	2.00381045535	-2.00381045535	0.8070519245944291	5537.0	0.8991399999999998	0.43520200099111045	25	2.5382936035088783	nirS
PA3877	PA3877	0.007442006405206059	5518.0	1.9924064	-1.9924064	0.8338148862014301	5251.5	0.4277399999999998	0.2895187860916799	25	5.404369164163765	narK1
PA1123	PA1123	0.014156505962526001	5517.0	1.9888857653	-1.9888857653	0.7734094224840731	5488.0	0.5814600000000009	0.23332996664237826	25	6.031911740925854	
PA3872	PA3872	0.00518738005522009	5516.0	1.9809487803499999	-1.9809487803499999	0.8070519245944291	5313.0	0.5263599999999996	0.24630301967292215	25	5.905687970377383	narI
PA3967	PA3967	0.00924470883314463	5515.0	1.97126456025	1.97126456025	0.765355222948496	5451.0	0.6240799999999997	0.3424844789670527	25	3.9335638342302826	
PA3915	PA3915	0.00506396911107386	5514.0	1.9673044226499998	-1.9673044226499998	0.8338148862014301	4772.0	0.30751999999999974	0.2066010386388864	25	8.033766110687866	moaB1
PA0511	PA0511	0.006108216246663921	5513.0	1.96050671125	-1.96050671125	0.8070519245944291	5437.5	0.53372	0.2214053635303354	25	6.444228308202262	nirJ
PA2112	PA2112	0.0083573702612936	5512.0	1.9587836902000002	1.9587836902000002	0.8070519245944291	5191.0	0.4163599999999997	0.2753889491852088	25	5.600891737898554	
PA0516	PA0516	0.0036462504058610103	5511.0	1.932207504	-1.932207504	0.8070519245944291	5446.0	0.5857799999999997	0.24737838257751368	25	5.442785622458785	nirF
PA0493	PA0493	0.0116757173637316	5510.0	1.9316227450499999	-1.9316227450499999	0.9107576633365769	2676.5	0.18066000000000007	0.25049183785770995	25	6.990098998932737	
PA0514	PA0514	0.00506396911107386	5509.0	1.8846976091999998	-1.8846976091999998	0.8057472033980609	5459.0	0.5596600000000004	0.2373976411003279	25	5.581511269692937	nirL
PA1001	PA1001	0.00924470883314463	5508.0	1.8832828225	-1.8832828225	0.8376174374268409	5200.0	0.4389999999999996	0.2989043882804891	25	4.831922444526638	phnA
PA5446	PA5446	0.00506396911107386	5507.0	1.8746063388	1.8746063388	0.863324847500366	3517.5	0.23559999999999945	0.26470282078839547	25	6.1918733390084615	
PA3365	PA3365	0.007442006405206059	5506.0	1.8474351275	1.8474351275	0.834540951262639	4610.0	0.2686000000000001	0.21392935944683555	25	7.380170405700498	
PA0495	PA0495	0.006108216246663921	5505.0	1.8126822219999998	-1.8126822219999998	0.8834720467871541	3565.5	0.1646199999999998	0.1080713768765809	25	15.249756870240594	
PA2381	PA2381	0.0463494129259864	5504.0	1.8073513819999998	-1.8073513819999998	0.765355222948496	5541.0	0.8475999999999999	0.38836245420139864	25	2.4712774667509128	
PA3188	PA3188	0.0083573702612936	5503.0	1.7964080261500002	-1.7964080261500002	0.836448628565477	4546.0	0.34555999999999976	0.3389975516135771	25	4.279818598229348	
PA4770	PA4770	0.0392662166362293	5502.0	1.7961329459	1.7961329459	0.8070519245944291	5546.0	0.8296999999999999	0.4892234918725797	25	1.9754426391112707	lldP
PA1337	PA1337	0.006108216246663921	5501.0	1.7776276025	-1.7776276025	0.834540951262639	4726.0	0.2787199999999996	0.18047501442951375	25	8.305346904878144	ansB
PA1183	PA1183	0.0100124094223292	5500.0	1.7613154627	-1.7613154627	0.921088647975563	4212.0	0.2507000000000002	0.18795705404870197	25	8.037024576415105	dctA
PA4130	PA4130	0.177323367251547	5499.0	1.7423094772499998	-1.7423094772499998	0.8070519245944291	5513.0	0.7134200000000002	0.2997679199536423	25	3.432286808438717	
PA2111	PA2111	0.18902174433291302	5498.0	1.73794883635	1.73794883635	0.8070519245944291	5144.0	0.39195999999999986	0.24971862999517427	25	5.39002170713499	
PA2664	PA2664	0.0083573702612936	5497.0	1.7244921342500001	-1.7244921342500001	0.892637369888043	3886.5	0.18904000000000018	0.13359078685797673	25	11.493697809283605	fhp
PA0753	PA0753	0.0083573702612936	5496.0	1.71994099185	1.71994099185	0.8887595509440219	2022.5	0.14611999999999986	0.16036730495958376	25	9.813851970927859	
PA0996	PA0996	0.0212388542137857	5495.0	1.6877949845	-1.6877949845	0.884814789547648	5324.5	0.4552399999999998	0.30491976813581634	25	4.042227212868008	pqsA
PA2114	PA2114	0.0769417769941276	5494.0	1.6819067641999998	1.6819067641999998	0.765355222948496	5192.0	0.42217999999999967	0.2861536912220421	25	4.402273333676868	
PA0494	PA0494	0.0083573702612936	5493.0	1.6772451044	-1.6772451044	0.812969493845209	2920.5	0.17249999999999951	0.09978810884402324	25	15.079402965257485	
PA3366	PA3366	0.11084900994766099	5492.0	1.67082029645	1.67082029645	0.834562527413553	4539.0	0.28816000000000025	0.23894166477754922	25	5.786601921172827	amiE
PA0887	PA0887	0.0083573702612936	5491.0	1.6601322213	-1.6601322213	0.8940627535246469	3967.0	0.20974000000000012	0.16520657018815343	25	8.779264769241024	acsA
PA1228	PA1228	0.0355458401608346	5490.0	1.65899532435	1.65899532435	0.7994607387557628	5532.0	0.8380000000000001	0.38919171047184437	25	2.1094882091775538	
PA2109	PA2109	0.0196436521057533	5489.0	1.64779223915	1.64779223915	0.869788634056862	3809.0	0.22476000000000013	0.2028772268310728	25	7.014253208098601	
PA3189	PA3189	0.0160244264333305	5488.0	1.6283534567	-1.6283534567	0.822341672911254	4290.5	0.3034199999999998	0.3067045497434519	25	4.319901539798685	
PA0752	PA0752	0.020358701007828	5487.0	1.5843586381499999	1.5843586381499999	0.9532471434742009	1016.5	0.12007999999999987	0.17581990549043802	25	8.32828702794198	
PA2788	PA2788	0.0242890773600058	5486.0	1.5223450490500001	-1.5223450490500001	0.765355222948496	5407.0	0.49767999999999996	0.21670438197384623	25	4.728400227613606	
PA0162	PA0162	0.0207261390245883	5485.0	1.50368251675	1.50368251675	0.8070519245944291	5303.0	0.37214000000000047	0.2067062892124959	25	5.474156210054954	opdC
PA0525	PA0525	0.0355458401608346	5484.0	1.4983932086000002	-1.4983932086000002	0.8070519245944291	5091.5	0.3772399999999995	0.2051033337125457	25	5.4662846688357964	
PA1556	PA1556	0.0160004810159484	5483.0	1.4958569775	-1.4958569775	0.7684611918518209	5517.0	0.6963399999999997	0.35432770025312266	25	2.2564337389621123	ccoO2
PA1555	PA1555	0.0446387711532669	5482.0	1.48228086265	-1.48228086265	0.7844113633719079	5530.0	0.72152	0.314483653523253	25	2.4190791925970454	ccoP2
PA4672	PA4672	0.0597405227346886	5481.0	1.46605065885	1.46605065885	0.830899193129381	5502.0	0.5898800000000003	0.24982536734020147	25	3.5071324748894215	
