	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA2193	PA2193	8.129082976241949e-06	5549.0	2.9595	0.99934564768333	5506.0	0.2122799999999997	0.18331706821788346	25	14.986165918466263	hcnA
PA3326	PA3326	4.35030760216359e-05	5548.0	2.5725	0.99934564768333	5548.0	0.23675999999999964	0.14503951473075602	25	16.104163091940492	clpP2
PA2195	PA2195	0.00224300015814417	5547.0	1.932	0.99934564768333	5455.0	0.1937	0.14544042308335944	25	11.951972932612346	hcnC
PA3331	PA3331	0.00117208928688706	5546.0	1.8715	0.99934564768333	5541.0	0.25144000000000033	0.15910742702128466	25	10.182177100904758	
PA2194	PA2194	0.00117208928688706	5545.0	1.834	0.99934564768333	5479.5	0.20731999999999975	0.13343692954600925	25	12.190628228140687	hcnB
PA3333	PA3333	0.00270943666575723	5544.0	1.8019999999999998	0.99934564768333	5547.0	0.24031999999999998	0.16006905280742606	25	9.756289380176487	fabH2
PA3332	PA3332	0.00117208928688706	5543.0	1.8015	0.99934564768333	5549.0	0.2593600000000002	0.16327408704384175	25	9.445099512857237	
PA3479	PA3479	0.00117208928688706	5542.0	1.7015	0.99934564768333	5540.0	0.2814799999999996	0.2025686858820981	25	7.010066703135453	rhlA
PA3330	PA3330	0.0057091807168791605	5541.0	1.575	0.99934564768333	5538.0	0.2251799999999997	0.14129511668843994	25	9.553196399394288	
PA2459	PA2459	0.9997611525928001	5540.0	1.5345	0.99934564768333	3430.0	0.06325999999999987	0.052961684263247884	25	27.779328026789155	
PA4141	PA4141	0.0390980813218968	5539.0	1.4205	0.99934564768333	5512.0	0.20727999999999974	0.10927832203445785	25	11.102110440691481	
PA3329	PA3329	0.0057091807168791605	5538.0	1.4065	0.99934564768333	5533.0	0.2046000000000004	0.1500219428394837	25	8.011494700385098	
PA3334	PA3334	0.0365005368056807	5537.0	1.3545	0.99934564768333	5509.0	0.2095200000000001	0.13904326964414127	25	8.234702786624558	
PA3572	PA3572	0.6866953834364821	5536.0	1.3475	0.99934564768333	5535.0	0.24021999999999977	0.11707761670504421	25	9.457657502454898	
PA2460	PA2460	0.9997611525928001	5535.0	1.3	0.999349905840128	4613.5	0.08145999999999998	0.07929965846920965	25	15.366270467269828	
PA1869	PA1869	0.20295462754390803	5534.0	1.2690000000000001	0.99934564768333	5295.5	0.16113999999999998	0.12248167550018758	25	9.045108139448201	
PA3328	PA3328	0.0285038021188324	5533.0	1.268	0.99934564768333	5521.0	0.19057999999999997	0.1285386355666394	25	8.382071236794978	
PA3160	PA3160	0.9997611525928001	5532.0	1.24	0.99934564768333	3858.5	0.08559999999999995	0.07606589796573274	25	15.1763146281406	wzz
PA3335	PA3335	0.034164565915174	5531.0	1.197	0.99934564768333	5501.0	0.18870000000000012	0.132165379354807	25	7.629078090814915	
PA4747	PA4747	0.9997611525928001	5530.0	1.115	0.99934564768333	5182.0	0.10744000000000024	0.07237508203795015	25	13.921365912534398	secG
PA0122	PA0122	0.162418934846207	5529.0	1.114	0.99934564768333	5531.0	0.28457999999999983	0.2265413262519668	25	3.661230441802445	rahU
PA3476	PA3476	0.162418934846207	5528.0	1.0965	0.99934564768333	5427.0	0.17091999999999982	0.12423270167981787	25	7.450373271165563	rhlI
PA3150	PA3150	0.9997611525928001	5527.0	1.089	0.99934564768333	3979.0	0.07860000000000006	0.06688142492501134	25	15.10733363012045	wbpG
PA3478	PA3478	0.119566574774703	5526.0	1.0590000000000002	0.99934564768333	5546.0	0.25639999999999974	0.16405766262709706	25	4.892182340938927	rhlB
PA3327	PA3327	0.162418934846207	5525.0	1.0585	0.99934564768333	5419.0	0.15986000000000017	0.09575179719810298	25	9.385097996028044	
PA3152	PA3152	0.9997611525928001	5524.0	1.002	0.99934564768333	3105.5	0.09552000000000023	0.09430717540745949	25	9.611993955746225	hisH2
PA3149	PA3149	0.9997611525928001	5523.0	0.9734999999999989	0.99934564768333	3805.0	0.09397999999999969	0.09367291052735895	25	9.389267345793838	wbpH
PA1414	PA1414	0.9997611525928001	5522.0	0.9700000000000011	0.99934564768333	4790.5	0.12357999999999969	0.0850854570417292	25	9.947880982585358	
PA4348	PA4348	0.9997611525928001	5521.0	0.9644999999999979	0.99934564768333	4865.5	0.13192000000000026	0.11468586442975463	25	7.259656664226086	
PA3151	PA3151	0.9997611525928001	5520.0	0.9620000000000011	0.99934564768333	4162.0	0.11493999999999958	0.12448881475859569	25	6.804306086796555	hisF2
PA0715	PA0715	0.9997611525928001	5519.0	0.9430000000000011	0.99934564768333	195.5	0.033500000000000106	0.032603361278657435	25	27.89589675207418	
PA4614	PA4614	0.9997611525928001	5518.0	0.9359999999999999	0.99934564768333	2267.5	0.05252000000000004	0.045579710398378014	25	19.383185901756832	mscL
PA3880	PA3880	0.9997611525928001	5517.0	0.932499999999997	0.99934564768333	5017.0	0.1462000000000002	0.130354484643478	25	6.032013414425612	
PA2461	PA2461	0.9997611525928001	5516.0	0.909	0.99934564768333	435.5	0.03212000000000005	0.02752774358109762	25	31.854408895399775	
PA2398	PA2398	0.9387964658751179	5515.0	0.9089999999999989	0.99934564768333	4678.5	0.11027999999999995	0.13927446523561537	25	5.734863161375468	fpvA
PA4571	PA4571	0.23826959658420802	5514.0	0.9045	0.99934564768333	4380.0	0.07707999999999957	0.0474624149547125	25	17.433162657009863	
PA5173	PA5173	0.9997611525928001	5513.0	0.9015000000000021	0.99934564768333	5409.0	0.16248000000000032	0.10545353242068284	25	7.008015597351921	arcC
PA1712	PA1712	0.594964567230922	5512.0	0.8949999999999989	0.99934564768333	4038.5	0.07243999999999995	0.04518441840575853	25	18.204505646467894	exsB
PA0729	PA0729	0.9997611525928001	5511.0	0.8909999999999989	0.99934564768333	3571.5	0.0678199999999996	0.05812789060912769	25	14.16153229325575	
PA0200	PA0200	0.23826959658420802	5510.0	0.886999999999999	0.99934564768333	5280.0	0.1586399999999998	0.12050402137134937	25	6.04427961582676	
PA0141	PA0141	0.441575062740454	5509.0	0.879	0.99934564768333	5036.0	0.13805999999999974	0.10422794730781142	25	7.108841909855689	
