	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)	Gene Name
PA1985	PA1985	0.000226334358355485	5549.0	2.8723853398	0.598971416534533	5509.0	0.55362	0.4644104300077679	25	4.992922617524364	pqqA
PA1249	PA1249	0.000179503510708172	5548.0	2.55193327065	0.732683064861566	5086.0	0.29853999999999986	0.2885606854141204	25	7.809079284019933	aprA
PA1988	PA1988	0.000226334358355485	5547.0	2.4185009949	0.598971416534533	5457.0	0.41132000000000013	0.24915749202729817	25	8.055872526924011	pqqD
PA3190	PA3190	0.0028112434727594897	5546.0	2.328511669	0.679908926330347	5167.5	0.30214000000000035	0.25727046889735883	25	7.876425450946122	
PA3875	PA3875	0.00048195720812262903	5545.0	2.2505648999	0.7540945675546039	5103.5	0.2525600000000004	0.2363218285869221	25	8.454593093862714	narG
PA3874	PA3874	0.000179503510708172	5544.0	2.2477108107	0.717280360918649	5419.0	0.29373999999999983	0.27128994022386227	25	7.2025184903193535	narH
PA1073	PA1073	0.0034952110480589603	5543.0	2.1495345664	0.681307273415492	4864.0	0.2227200000000002	0.1548465692225694	25	12.443379120854038	braD
PA1123	PA1123	0.000967431852892858	5542.0	2.13945741905	0.7546284031584929	4916.0	0.19142000000000003	0.13749005115522628	25	14.16857003602876	
PA4739	PA4739	0.00048195720812262903	5541.0	2.1273184311	0.717280360918649	5493.0	0.45825999999999945	0.3666522853240293	25	4.5521560833173815	
PA3479	PA3479	0.000785195246558159	5540.0	2.0042692771	0.774873748698923	5084.5	0.2141200000000001	0.163449296419409	25	10.952321706582925	rhlA
PA1070	PA1070	0.00048195720812262903	5539.0	1.9883127971	0.739174920482702	4526.0	0.1521199999999996	0.11408131968030501	25	16.09547296827949	braG
PA1999	PA1999	0.0605404525867214	5538.0	1.9523355767500001	0.6349252013727811	5465.0	0.4566400000000001	0.4306391693363093	25	3.4731991032193608	dchA
PA3187	PA3187	0.0107664774721774	5537.0	1.9369069789	0.7295933715795949	5113.5	0.24849999999999978	0.20376763727343983	25	8.285942760548838	
PA3334	PA3334	0.0019418105756618198	5536.0	1.9123272238	0.8137181170467779	4733.5	0.17969999999999944	0.1408250983785681	25	12.30339792941118	
PA2000	PA2000	0.0382488953365194	5535.0	1.89613978985	0.7345732576925219	5485.5	0.40995999999999994	0.3989780413757127	25	3.7249663784140017	dchB
PA1987	PA1987	0.00048195720812262903	5534.0	1.86791937495	0.598971416534533	5416.0	0.3137599999999997	0.19646374347446396	25	7.910667624797688	pqqC
PA4500	PA4500	0.0010959475021228699	5533.0	1.86382656	0.7454032757439091	5064.5	0.2828600000000004	0.2336928860705864	25	6.765146284865823	dppA3
PA2444	PA2444	0.0010959475021228699	5532.0	1.85308405735	0.90361412543456	5002.0	0.23092000000000037	0.2722274891213843	25	5.958854715905227	glyA2
PA5167	PA5167	0.00048195720812262903	5531.0	1.8370965257499998	0.7613632846230469	4918.5	0.22713999999999984	0.21689011810899383	25	7.422913223464373	dctP
PA1216	PA1216	0.00048195720812262903	5530.0	1.83501018495	0.7373249063202091	4998.5	0.22838000000000025	0.16495392538524242	25	9.739872398900406	
PA0130	PA0130	0.00048195720812262903	5529.0	1.8288059207	0.819401030477775	3993.0	0.13142000000000015	0.08837734909654885	25	19.206119419192706	bauC
PA1338	PA1338	0.00048195720812262903	5528.0	1.80795343895	0.7879420905269559	4955.0	0.2065800000000001	0.17351528991225346	25	9.229004773929798	ggt
PA1175	PA1175	0.000693330717915652	5527.0	1.8079226214500002	0.607833846251579	5533.0	0.5367000000000001	0.21551648235498502	25	5.898493737273065	napD
PA1041	PA1041	0.0010959475021228699	5526.0	1.7923524903999999	0.598971416534533	5542.0	0.6649399999999999	0.3346281617955471	25	3.369150057038034	
PA3873	PA3873	0.0005582933093040791	5525.0	1.77936425695	0.717280360918649	5037.5	0.28267999999999976	0.23321551549300187	25	6.41760156388442	narJ
PA4738	PA4738	0.00108294820727485	5524.0	1.7771306972	0.6728238203392671	5473.0	0.38817999999999964	0.28502400776075043	25	4.873100719171304	
PA3329	PA3329	0.000812383821383819	5523.0	1.75905513355	0.80644375228303	4855.0	0.19783999999999988	0.18928509802235663	25	8.2479558605591	
PA0998	PA0998	0.00576768888253276	5522.0	1.7356995024500002	0.613036697920992	5408.0	0.3574999999999996	0.21843753874582428	25	6.309352826272617	pqsC
PA3038	PA3038	0.00773948438627332	5521.0	1.7354140650999998	0.619170090833806	5302.0	0.3443000000000003	0.25879069728257237	25	5.375440770117979	opdQ
PA3333	PA3333	0.0027281519702333197	5520.0	1.73457056855	0.780423563070802	5156.5	0.22078000000000025	0.19927750123885063	25	7.596394771809167	fabH2
PA3872	PA3872	0.00048195720812262903	5519.0	1.73400467685	0.627831407804784	5176.0	0.32285999999999987	0.2750153601770874	25	5.131148587269228	narI
PA1072	PA1072	0.000833835724077498	5518.0	1.73162740155	0.803932055430581	4479.0	0.17369999999999997	0.13275572806223226	25	11.735293265987634	braE
PA3331	PA3331	0.00185032170559837	5517.0	1.73113250065	0.751429489286752	4159.5	0.2069800000000006	0.20378979570462608	25	7.479042291494877	
PA3392	PA3392	0.0005582933093040791	5516.0	1.7272239212	0.663436510533339	5161.0	0.2515399999999998	0.20010705051713312	25	7.374472400579671	nosZ
PA2247	PA2247	0.00048195720812262903	5515.0	1.7263656318	0.819401030477775	5233.0	0.34599999999999975	0.39018078074998347	25	3.537759161655116	bkdA1
PA0997	PA0997	0.0034952110480589603	5514.0	1.7236681423500002	0.619170090833806	5500.0	0.4095200000000003	0.24583236496984376	25	5.345708416022465	pqsB
PA1984	PA1984	0.0117465743001652	5513.0	1.6972565391	0.820856057700285	4450.5	0.2499799999999997	0.2927509066311039	25	4.943713260378445	exaC
PA4587	PA4587	0.000785195246558159	5512.0	1.6913840185	0.732683064861566	5440.5	0.3399999999999994	0.2212726447921959	25	6.107325285369675	ccpR
PA0291	PA0291	0.00217197720020717	5511.0	1.6397815703	0.6558967734154261	5313.5	0.2864399999999997	0.20709485145700773	25	6.534887568563963	oprE
PA4133	PA4133	0.007145730156141159	5510.0	1.6192640955500002	0.645351583642634	5497.0	0.44949999999999996	0.32785858231865744	25	3.5678922518278466	
PA0887	PA0887	0.000524495479448142	5509.0	1.61730409305	0.7023212756744929	4954.0	0.20613999999999968	0.14885203223335586	25	9.48031459078579	acsA
PA0996	PA0996	0.00217197720020717	5508.0	1.5945952638	0.619170090833806	5495.0	0.3985400000000001	0.22390371442504783	25	5.341828593023997	pqsA
PA0572	PA0572	0.0027281519702333197	5507.0	1.57610983865	0.84016110168963	4059.5	0.13575999999999974	0.10913143070017292	25	13.198304369409483	
PA3972	PA3972	0.00185032170559837	5506.0	1.57452997465	0.75558751686582	3894.5	0.1582599999999999	0.1366620009366175	25	10.363304831947048	
PA1071	PA1071	0.00122811786543041	5505.0	1.5630206991	0.717280360918649	4477.5	0.20310000000000059	0.14473265584057643	25	9.396087504937084	braF
PA1337	PA1337	0.00122811786543041	5504.0	1.5587708627	0.7805615821044519	4817.0	0.20925999999999959	0.20492590734214142	25	6.585359948885702	ansB
PA2367	PA2367	0.00168318927252104	5503.0	1.5485180254	0.598971416534533	5437.0	0.38411999999999985	0.23082782544572042	25	5.044443940636656	hcp3
PA2760	PA2760	0.16028110252645497	5502.0	1.53041657995	0.7390299093576609	5210.0	0.22510000000000022	0.18519432361711294	25	7.048361712471956	oprQ
PA3915	PA3915	0.00122811786543041	5501.0	1.5234185278	0.7454032757439091	4247.0	0.20596000000000003	0.21415035216719397	25	6.152025968985651	moaB1
PA3330	PA3330	0.00636885936607203	5500.0	1.5217340323500002	0.819401030477775	4081.0	0.1799399999999995	0.15986891244599968	25	8.3930891367215	
PA4131	PA4131	0.00303321500477887	5499.0	1.5114623566499998	0.717280360918649	5517.0	0.4381600000000003	0.31752118433263693	25	3.3802543250959975	
PA2248	PA2248	0.0020839809416198897	5498.0	1.50872063805	0.7330154360969571	5427.0	0.3723799999999999	0.39954691213923826	25	2.8440731326538105	bkdA2
PA1202	PA1202	0.000854430500794903	5497.0	1.5076085307	0.7189270445472309	5209.0	0.23587999999999987	0.1997876622817334	25	6.3654007268309405	
PA0588	PA0588	0.00372536416345667	5496.0	1.5068644536000002	0.598971416534533	5536.0	0.46605999999999964	0.24681695815590385	25	4.216908195354098	
PA0132	PA0132	0.0027441071695625103	5495.0	1.4927318548500002	0.7969376721660251	3328.0	0.14447999999999983	0.11827602602951016	25	11.399198130934906	bauA
PA3188	PA3188	0.0055163877855095795	5494.0	1.47240446	0.75798069449256	5013.5	0.24354000000000015	0.21000649394721146	25	5.851554572921421	
PA3332	PA3332	0.00502145874858831	5493.0	1.4659404994	0.751429489286752	4625.5	0.2178599999999996	0.19099348374573777	25	6.5346758168018	
PA2250	PA2250	0.00185032170559837	5492.0	1.46588777035	0.7768615470777801	5095.5	0.3040600000000001	0.38026959515585784	25	3.0552739034363543	lpdV
PA0511	PA0511	0.0010959475021228699	5491.0	1.4563909142500002	0.6394692862654561	5409.5	0.32190000000000035	0.17624077990068016	25	6.437164627218162	nirJ
PA0899	PA0899	0.0028112434727594897	5490.0	1.4464151907499998	0.675019384211227	4920.5	0.27702000000000054	0.234197631997707	25	4.9931981838375235	aruB
PA0865	PA0865	0.34368581208800303	5489.0	1.44559576315	0.619170090833806	5449.0	0.4303800000000004	0.35804644368200794	25	2.835430377997677	hpd
PA2014	PA2014	0.0027441071695625103	5488.0	1.4212142716999998	0.773075946159893	5305.5	0.3349600000000001	0.3539940830484786	25	3.0685661815178977	liuB
PA3250	PA3250	0.0027281519702333197	5487.0	1.4195551659	0.598971416534533	5456.0	0.3184599999999994	0.15260944979478389	25	7.215117853977321	
PA0179	PA0179	0.00227499152429661	5486.0	1.4182536821	0.607833846251579	5476.0	0.39783999999999964	0.23279795961305164	25	4.383258701219269	
PA2249	PA2249	0.00180537807636621	5485.0	1.4176773644	0.788898497017134	5244.0	0.316	0.38084508552253465	25	2.8927178169791916	bkdB
PA1173	PA1173	0.0027441071695625103	5484.0	1.4073255003999998	0.598971416534533	5523.0	0.48228000000000004	0.28872987231435954	25	3.2038441086305087	napB
PA2443	PA2443	0.00185032170559837	5483.0	1.39749971435	0.872734373304335	2283.5	0.1331199999999998	0.15919918603225713	25	7.942124239842597	sdaA
PA2365	PA2365	0.00227879423461584	5482.0	1.38456872345	0.598971416534533	5466.0	0.4206799999999999	0.2881180631847528	25	3.345464400237607	hsiB3
PA1341	PA1341	0.00185032170559837	5481.0	1.3808328431	0.8048025585556791	4887.5	0.17932000000000023	0.13513934783523768	25	8.890917873637278	aatQ
PA4496	PA4496	0.00213980361877584	5480.0	1.37693602	0.751792735646441	4871.0	0.19974000000000022	0.15349797229931073	25	7.669130753757103	dppA1
PA0525	PA0525	0.007382850829568429	5479.0	1.3667332179499998	0.717280360918649	5099.0	0.2241599999999999	0.20306493829971378	25	5.626639574103228	
PA0518	PA0518	0.0027441071695625103	5478.0	1.3562311405	0.653794585062528	5431.0	0.37056000000000006	0.21967373155052772	25	4.486977726207028	nirM
PA3790	PA3790	0.036628515183183996	5477.0	1.35522824215	0.741712317253508	5391.0	0.28916000000000064	0.18688614626736447	25	5.70437276086186	oprC
PA1256	PA1256	0.00217197720020717	5476.0	1.3548508514	0.637517849413052	5116.0	0.25824000000000036	0.1862748372700942	25	5.887058431890826	lhpO
PA1074	PA1074	0.0373893582407543	5475.0	1.35481909995	0.722146745268995	4311.5	0.1766199999999997	0.12501443916604194	25	9.424504143758446	braC
PA2679	PA2679	0.0027441071695625103	5474.0	1.35467799165	0.819401030477775	4019.0	0.17215999999999998	0.1758951344788518	25	6.7228578843502715	
PA3836	PA3836	0.0053638543359929396	5473.0	1.3468496195	0.732683064861566	4422.5	0.16327999999999984	0.11108143409229157	25	10.654972445860178	
PA0328	PA0328	0.0040614692016208605	5472.0	1.3462937438	0.8929221573595941	986.0	0.08082000000000007	0.08127113571250275	25	15.571010946329368	aaaA
PA3478	PA3478	0.00576768888253276	5471.0	1.34339923585	0.8665050378472209	4065.5	0.1530199999999997	0.12397878514756722	25	9.601475239760878	rhlB
