	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA3600	PA3600	7.06863287009848e-08	5549.0	6.1375663858000005	6.1375663858000005	0.0112102694238232	5520.0	1.92492	1.5662372617199478	25	2.6896604293361817	
PA4470	PA4470	1.17602978580262e-08	5548.0	6.016551579450001	6.016551579450001	0.0041509215596881	5549.0	2.4644799999999996	1.096636528967856	25	3.2390600582976914	fumC1
PA3601	PA3601	1.1003352232866201e-08	5547.0	5.83662788225	5.83662788225	0.00938728348950775	5505.5	1.59874	1.1189063030477573	25	3.7875270437806425	
PA2426	PA2426	3.64244358628833e-08	5546.0	5.53370909095	5.53370909095	0.004414640580934871	5545.0	2.2252999999999994	0.9465025862792626	25	3.495404174177148	pvdS
PA4469	PA4469	3.64244358628833e-08	5545.0	5.42392350125	5.42392350125	0.00486830014669956	5548.0	2.4106199999999998	1.0669095974667522	25	2.824328798245629	
PA2398	PA2398	3.64244358628833e-08	5544.0	5.3695478234500005	5.3695478234500005	0.015298010934516	5541.0	1.84436	0.9686582162971623	25	3.639248358337935	fpvA
PA4468	PA4468	3.64244358628833e-08	5543.0	5.32954668755	5.32954668755	0.0043631588442084	5546.0	2.2265200000000003	1.0189089291165	25	3.0454406658705464	sodM
PA2386	PA2386	4.72552280902314e-08	5542.0	5.29075576905	5.29075576905	0.00443179927342455	5547.0	2.33332	1.1036942028176706	25	2.6795789644448877	pvdA
PA2412	PA2412	2.51692491249769e-07	5541.0	4.8758449903	4.8758449903	0.00629194788575924	5543.0	2.2216199999999997	0.9622235022765415	25	2.7584287683893844	
PA4570	PA4570	1.28470515368272e-07	5540.0	4.86787852415	4.86787852415	0.00454521254974751	5542.0	2.1193799999999996	0.9320467875416271	25	2.9488847136091296	
PA2396	PA2396	2.2752258253955603e-07	5539.0	4.7059388042500006	4.7059388042500006	0.00434799722261566	5536.0	1.7712400000000001	0.876263957568342	25	3.349103633560229	pvdF
PA1927	PA1927	2.2752258253955603e-07	5538.0	4.6947015559	4.6947015559	0.0535879803198695	4651.5	0.7311599999999998	0.8851375213302546	25	4.477882205177877	metE
PA4710	PA4710	2.2752258253955603e-07	5537.0	4.62403651985	4.62403651985	0.0242832281817004	5477.0	1.11462	0.8019363841145174	25	4.376178197382862	phuR
PA0523	PA0523	1.59789334003888e-07	5536.0	4.5399302777	-4.5399302777	0.0567727519934201	5026.5	0.5802799999999996	0.48231749743642255	25	8.209634315043584	norC
PA4471	PA4471	7.98277497993821e-06	5535.0	4.39761449355	4.39761449355	0.00486415026061037	5544.0	2.1684200000000002	1.0465918167238524	25	2.129955975127008	
PA2393	PA2393	7.47125204627497e-07	5534.0	4.3802896688	4.3802896688	0.00938728348950775	5535.0	1.6643200000000002	0.7745118473378358	25	3.5066857636011286	
PA0865	PA0865	4.72552280902314e-08	5533.0	4.38023130405	-4.38023130405	0.0419029590876044	5493.0	1.25054	0.9202599601018546	25	3.4008774039279124	hpd
PA0781	PA0781	4.72552280902314e-08	5532.0	4.2587570670499995	4.2587570670499995	0.0583580942551955	5124.5	0.8313800000000002	0.9450639228821155	25	3.62660872356411	
PA2033	PA2033	2.80064624820473e-07	5531.0	4.14913126385	4.14913126385	0.00343406316046891	5539.0	1.7276599999999995	0.8077149058712898	25	2.9979281628310877	
PA0887	PA0887	4.72552280902314e-08	5530.0	4.1179855674	-4.1179855674	0.0501876061827094	4404.0	0.5022599999999996	0.36569850742562987	25	9.887176168295712	acsA
PA2394	PA2394	1.1140168447575398e-06	5529.0	4.0834830413	4.0834830413	0.007554113442883479	5530.5	1.6118199999999998	0.7277212561597105	25	3.396442003554109	pvdN
PA0872	PA0872	8.075734052118031e-08	5528.0	4.07321725435	-4.07321725435	0.0433144124842722	5380.0	0.95134	0.8295553869392931	25	3.7633138226832576	phhA
PA4837	PA4837	4.72552280902314e-08	5527.0	4.06109593475	4.06109593475	0.0416373086761781	5213.0	0.9049399999999999	0.9683065363475213	25	3.259459495807089	
PA2452	PA2452	7.47125204627497e-07	5526.0	4.01321701875	4.01321701875	0.00657713966026343	5521.0	1.2955800000000002	0.7163571135730186	25	3.7936902799709404	
PA4063	PA4063	6.89024929173975e-08	5525.0	3.94932707125	3.94932707125	0.100370164656828	5110.0	0.88836	0.9477168014936389	25	3.2298330750555393	
PA0524	PA0524	4.01809669203579e-07	5524.0	3.9260452325	-3.9260452325	0.0930877685054109	5129.0	0.5959999999999996	0.47133080651137865	25	7.0651974929196735	norB
PA2397	PA2397	7.375450739094231e-06	5523.0	3.8778521806999997	3.8778521806999997	0.00791280766596607	5527.0	1.7247999999999997	0.8030742104562939	25	2.6810127291681676	pvdE
PA1999	PA1999	7.154255529664349e-08	5522.0	3.86032459645	-3.86032459645	0.023065182002049	5511.0	1.24598	0.8326343545238409	25	3.1398471396788166	dchA
PA2424	PA2424	5.17481534314424e-06	5521.0	3.66303052165	3.66303052165	0.00775215573583662	5529.0	1.6312599999999997	0.7290027594826602	25	2.7870546376146157	pvdL
PA2413	PA2413	1.2809637087105401e-06	5520.0	3.59728012495	3.59728012495	0.0066393276685359605	5530.5	1.6696600000000001	0.8178529910686884	25	2.3569274013795303	pvdH
PA1925	PA1925	4.70287807974195e-07	5519.0	3.59418459925	3.59418459925	0.10376585526796	4040.0	0.5010800000000004	0.6305277663724782	25	4.905580315748979	
PA3049	PA3049	3.86168002042835e-07	5518.0	3.5863543097000004	3.5863543097000004	0.0067278768208714	5533.0	1.8167000000000002	0.8831999584842986	25	2.0036847745520596	rmf
PA2399	PA2399	2.80064624820473e-07	5517.0	3.57604840245	3.57604840245	0.006619747146052729	5537.0	1.6161400000000001	0.706936827092775	25	2.772395392824529	pvdD
PA2395	PA2395	1.23770033037333e-06	5516.0	3.57080026044999	3.57080026044999	0.008282971248169941	5523.0	1.33116	0.6144770934162911	25	3.644790480306312	pvdO
PA2401	PA2401	8.61355015858494e-07	5515.0	3.5675421005000003	3.5675421005000003	0.0059566044199164	5534.0	1.5944	0.7683428596661778	25	2.56804898448236	
PA4834	PA4834	2.61718073438276e-07	5514.0	3.51262525305	3.51262525305	0.114196256797831	4807.5	0.5806400000000002	0.6268255592002182	25	4.677513879285634	
PA3392	PA3392	1.59789334003888e-07	5513.0	3.48595655405	-3.48595655405	0.0293278677551267	5268.0	0.7427400000000003	0.522798979851083	25	5.247172737084132	nosZ
PA2411	PA2411	1.9528220544622398e-06	5512.0	3.4240680871499998	3.4240680871499998	0.00564597879102851	5538.0	1.7741600000000002	0.7880376698906385	25	2.0936919010216464	
PA2400	PA2400	3.71084008967935e-07	5511.0	3.4008216808999996	3.4008216808999996	0.00481788277406273	5540.0	1.62288	0.735589379341491	25	2.4170301133108194	pvdJ
PA4812	PA4812	1.84176455676503e-07	5510.0	3.39834194055	-3.39834194055	0.00684856185694889	5497.0	1.1612799999999999	0.5429396083666523	25	4.120277662703309	fdnG
PA0672	PA0672	1.9783664522345397e-07	5509.0	3.3675363299	3.3675363299	0.00847925667576337	5525.0	1.3753399999999993	0.6200261876189858	25	3.213084172380525	hemO
