	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA3600	PA3600	7.99909240278074e-08	5549.0	6.138	0.0382401883835575	5443.0	1.0986799999999999	0.9948527202556166	25	5.065392994759266	
PA4470	PA4470	1.36680481318652e-08	5548.0	6.0165	0.0194954423495978	5542.0	2.2193400000000008	1.1482256485551956	25	3.3069806486015523	fumC1
PA3601	PA3601	1.27359256830215e-08	5547.0	5.8365	0.0240127468017994	5370.0	1.0160200000000001	0.7799932221927741	25	6.180156266548462	
PA2426	PA2426	4.2145603028660294e-08	5546.0	5.534	0.014591812980747	5543.0	2.23118	0.9238506923018821	25	3.5750582074800823	pvdS
PA4469	PA4469	4.2145603028660294e-08	5545.0	5.4239999999999995	0.0163978732792732	5549.0	2.2625	1.1400957470756572	25	2.7730127124052864	
PA2398	PA2398	4.2145603028660294e-08	5544.0	5.3695	0.0133946840911906	5537.0	1.72058	0.8536070485494679	25	4.274706969911507	fpvA
PA4468	PA4468	4.2145603028660294e-08	5543.0	5.329	0.0102070617149696	5548.0	2.2199200000000006	1.051703278020944	25	2.9562330601940783	sodM
PA2386	PA2386	5.35307129157594e-08	5542.0	5.291	0.0118768216317035	5545.0	2.21284	0.9555077807986005	25	3.2214912969388023	pvdA
PA2412	PA2412	2.85720822839294e-07	5541.0	4.876	0.0139017748652724	5547.0	2.38346	1.0592188544709091	25	2.353186963656392	
PA4570	PA4570	1.4684062156016701e-07	5540.0	4.868	0.0152865876353273	5546.0	2.1230599999999997	1.0881655082446482	25	2.5225390615697276	
PA2396	PA2396	2.58269500186418e-07	5539.0	4.706	0.011097584332512	5532.0	1.64076	0.8196320709114954	25	3.7397755758766396	pvdF
PA1927	PA1927	2.58269500186418e-07	5538.0	4.695	0.151250682783487	3358.0	0.46082	0.5779382334356039	25	7.326353847243416	metE
PA4710	PA4710	2.58269500186418e-07	5537.0	4.624	0.0382401883835575	5440.0	1.15898	0.7412666451194648	25	4.6744582706018925	phuR
PA0523	PA0523	1.80420331564048e-07	5536.0	4.54	0.0681715653172327	4799.0	0.5785400000000002	0.4274857677942817	25	9.266881609743711	norC
PA4471	PA4471	8.82098602629965e-06	5535.0	4.3975	0.0177235564840926	5541.0	1.9800399999999998	1.2251715094222526	25	1.9731604770502609	
PA2393	PA2393	8.316037367893371e-07	5534.0	4.38	0.0191051676802891	5505.0	1.4050399999999998	0.8746756889460993	25	3.4012149161074126	
PA0865	PA0865	5.35307129157594e-08	5533.0	4.3795	0.0863987979782731	5351.0	0.9355599999999997	0.7864432899665003	25	4.379133300440138	hpd
PA0781	PA0781	5.35307129157594e-08	5532.0	4.2589999999999995	0.203275334716077	2476.5	0.4597999999999999	0.5757860930936071	25	6.598283712598028	
PA2033	PA2033	3.1364491511146195e-07	5531.0	4.1495	0.0113377175640312	5527.0	1.6652999999999998	0.9588541555766794	25	2.5908006817845397	
PA0887	PA0887	5.35307129157594e-08	5530.0	4.118	0.0806196136262047	4997.0	0.6345000000000005	0.5978589751493792	25	5.826624914562206	acsA
PA2394	PA2394	1.23408657392661e-06	5529.0	4.0835	0.0154611327685483	5518.0	1.49064	0.9026265091387469	25	2.8725724025920885	pvdN
PA0872	PA0872	9.064089313817439e-08	5528.0	4.0735	0.0583261589857204	5221.0	0.8334599999999998	0.7281308679305757	25	4.449804482549317	phhA
PA4837	PA4837	5.35307129157594e-08	5527.0	4.061	0.16011920813914998	3130.5	0.5019400000000003	0.6122506179389833	25	5.813077023884188	
PA2452	PA2452	8.33853556122845e-07	5526.0	4.013	0.0150131867526356	5442.0	1.2273199999999997	0.840657181911866	25	3.313693215187507	
PA4063	PA4063	7.728841622786549e-08	5525.0	3.9495000000000093	0.0577263817991625	4660.0	0.5256399999999999	0.4219345950499911	25	8.114669999018089	
PA0524	PA0524	4.49832292022234e-07	5524.0	3.926	0.0551273503297682	5009.0	0.6389999999999997	0.5933578178468705	25	5.539659040690832	norB
PA2397	PA2397	8.13979449753561e-06	5523.0	3.8775	0.0162116004047529	5520.0	1.42658	0.6951920849664502	25	3.5255292069648356	pvdE
PA1999	PA1999	7.99909240278074e-08	5522.0	3.8605	0.0202964119745039	5499.0	1.2980399999999996	0.926703295738897	25	2.765135304668201	dchA
PA2424	PA2424	5.71187532485904e-06	5521.0	3.6630000000000003	0.0175320119105671	5509.0	1.48418	0.8539950097434212	25	2.5513263838094513	pvdL
PA2413	PA2413	1.42427489045975e-06	5520.0	3.5975	0.0150131867526356	5510.0	1.5317199999999997	0.8967630107782101	25	2.3035963517354694	pvdH
PA1925	PA1925	5.25681822058769e-07	5519.0	3.594	0.14189721418689097	3013.0	0.3352400000000003	0.3409969183633973	25	9.556567301664495	
PA3049	PA3049	4.24870375603226e-07	5518.0	3.5865	0.0158411921089496	5511.0	1.4730199999999996	0.8737717984882173	25	2.4188008856050307	rmf
PA2399	PA2399	3.1364491511146195e-07	5517.0	3.576	0.0150131867526356	5519.0	1.44984	0.7242420566817882	25	2.935703581950607	pvdD
PA2395	PA2395	1.3521982128884e-06	5516.0	3.5705	0.0150131867526356	5460.0	1.14726	0.7023210347364894	25	3.4503309457464826	pvdO
PA2401	PA2401	9.59313994894339e-07	5515.0	3.5675	0.0150131867526356	5513.0	1.3505	0.7833135547148408	25	2.8302842286535963	
PA4834	PA4834	2.90192151793567e-07	5514.0	3.5125	0.328114335653852	1387.0	0.3329599999999997	0.38185258172057296	25	8.326616480300983	
PA3392	PA3392	1.80420331564048e-07	5513.0	3.486	0.0327825107074853	5302.0	0.8191199999999995	0.5970711550281649	25	4.466603314431091	nosZ
PA2411	PA2411	2.14630123018982e-06	5512.0	3.424	0.0154611327685483	5522.0	1.7132399999999999	0.931699568441101	25	1.836171291634712	
PA2400	PA2400	4.13905036587077e-07	5511.0	3.4005	0.0150131867526356	5523.0	1.4824400000000002	0.8017065693464994	25	2.392471352160032	pvdJ
PA4812	PA4812	2.03678729600717e-07	5510.0	3.3985	0.0156242183806053	5500.0	1.20964	0.597208253738454	25	3.6651536315815996	fdnG
PA0672	PA0672	2.18843632604922e-07	5509.0	3.3675	0.0150131867526356	5501.0	1.52582	0.8724420931118195	25	2.1109481242830808	hemO
PA4168	PA4168	1.03714804130076e-06	5508.0	3.3455	0.0782168321269469	5136.0	0.6861999999999999	0.4908527656028845	25	5.417714203430726	fpvB
PA4227	PA4227	5.51888319234003e-07	5507.0	3.3310000000000004	0.0156339444583313	5468.0	1.2590599999999996	0.6285984131383087	25	3.2961266791236996	pchR
PA3038	PA3038	3.62132754964949e-07	5506.0	3.3215	0.0208683796589011	5229.0	0.7578400000000001	0.675740114615079	25	3.793854981452942	opdQ
PA3407	PA3407	2.77855767911952e-06	5505.0	3.31	0.0262748762601731	5456.0	1.28662	0.9375012697769175	25	2.158269076778394	hasAp
PA5445	PA5445	2.90192151793567e-07	5504.0	3.2985	0.0388447762481682	4894.0	0.50142	0.3370372036833124	25	8.299024468017478	
PA5535	PA5535	3.3171894058235805e-07	5503.0	3.2785	0.15672017937217803	2546.0	0.4071800000000003	0.5547535278541874	25	5.175848112415617	
PA2404	PA2404	4.93681711970507e-07	5502.0	3.273	0.013672666523275	5482.0	1.17666	0.5687725951555683	25	3.6857261018819267	fpvH
PA0518	PA0518	2.56777542230939e-06	5501.0	3.2595	0.0357210317995527	5410.0	0.9149799999999999	0.6043544675933158	25	3.8793789501324283	nirM
PA2402	PA2402	1.72818432904211e-06	5500.0	3.2539999999999996	0.0152865876353273	5503.0	1.3276199999999998	0.8337268522523831	25	2.3105648987983565	
PA1708	PA1708	4.93681711970507e-07	5499.0	3.2305	0.0150131867526356	5415.0	0.9589	0.5933348373108276	25	3.828529621310585	popB
PA1863	PA1863	2.11244907695821e-06	5498.0	3.2155	0.0557034274591586	4401.0	0.5236199999999999	0.41057516262758337	25	6.556363475015412	modA
PA3785	PA3785	2.85720822839294e-07	5496.5	3.2055	0.0162922464636777	5403.5	0.8814000000000002	0.45376303929841333	25	5.12183628616692	
PA0519	PA0519	1.07880103026518e-06	5496.5	3.2055	0.0235021358863245	5485.0	1.2090599999999996	0.6483053119480052	25	3.079474999211663	nirS
PA4836	PA4836	3.99201863477198e-07	5495.0	3.1855	0.243163048204405	3164.0	0.37548000000000026	0.42875173663399524	25	6.553955960763323	
PA4066	PA4066	6.68901388244038e-07	5494.0	3.1765	0.14452905843193303	3453.5	0.33968000000000004	0.36550623797686427	25	7.76134496555313	
PA2247	PA2247	3.1364491511146195e-07	5493.0	3.1725	0.043840712570436	5168.0	0.8731199999999991	0.6494654417288114	25	3.5404193237430515	bkdA1
PA2405	PA2405	4.93681711970507e-07	5492.0	3.1595	0.0125252867670763	5514.0	1.3305200000000001	0.6613417308774641	25	2.7655596412664307	fpvJ
PA5536	PA5536	0.000108508443117781	5491.0	3.1515	0.31242729203951003	3326.0	0.29272000000000004	0.323105055154924	25	8.847834332487487	dksA2
PA3530	PA3530	4.79738871207463e-06	5490.0	3.1175	0.0223395665774306	5529.0	1.6331000000000007	1.1093983354353234	25	1.3380225592438149	bfd
PA5538	PA5538	1.98438620047065e-05	5489.0	3.11	0.36511596089795095	2029.5	0.3037599999999993	0.41048896452888983	25	6.8363348165051585	amiA
PA0493	PA0493	4.24870375603226e-07	5488.0	3.0980000000000003	0.0162922464636777	5261.0	0.7174	0.4044193110704122	25	5.886464703426394	
PA4467	PA4467	3.05911154383094e-06	5487.0	3.0785	0.0195212941535747	5508.0	1.4110600000000004	0.8441473301503711	25	1.9752949993965772	
PA3875	PA3875	2.49299116114071e-06	5486.0	3.072	0.025508463173308	5129.0	0.6887800000000002	0.3736915528436074	25	6.3775056777839305	narG
PA2000	PA2000	4.93681711970507e-07	5485.0	3.0469999999999997	0.0222285455114664	5451.0	1.1462599999999994	0.8470245362443762	25	2.244020000208843	dchB
PA2385	PA2385	2.1739329631904997e-06	5484.0	3.0415	0.0276803351784178	5434.0	1.1018800000000002	0.729747348973145	25	2.6579336022656506	pvdQ
PA1041	PA1041	1.3521982128884e-06	5483.0	3.0375	0.0105985682930115	5506.0	1.25548	0.4983928019143136	25	3.5755331801649386	
PA1871	PA1871	6.6814481419607905e-06	5482.0	3.031	0.00532766073685195	5540.0	1.97874	0.9250397189670652	25	1.1375295335155922	lasA
PA0782	PA0782	4.93681711970507e-07	5481.0	2.9965	0.0204953858294679	5419.0	0.9689599999999998	0.6096256692976985	25	3.3258770129147757	putA
PA3874	PA3874	1.72818432904211e-06	5480.0	2.971	0.0168939414640946	5243.0	0.8221600000000001	0.4995481441596329	25	4.301567376683774	narH
PA4552	PA4552	4.24870375603226e-07	5479.0	2.9695	0.0542811027978872	4826.5	0.5966199999999999	0.5454463439850584	25	4.350345411912783	pilW
PA2366	PA2366	2.02621762859082e-06	5478.0	2.958	0.0121725086112536	5412.0	1.0041400000000003	0.5328573824204745	25	3.6667597455902765	hsiC3
PA1922	PA1922	4.49832292022234e-07	5477.0	2.931	0.174561391353245	2764.5	0.26371999999999995	0.25355123906881893	25	10.519688287841678	
PA1709	PA1709	5.09372015259533e-06	5476.0	2.9275	0.0150131867526356	5347.0	0.9812600000000005	0.5957043995696746	25	3.2671237637424304	popD
PA1183	PA1183	1.0825491871068702e-06	5475.0	2.9265	0.0444013392535179	4662.0	0.5224399999999999	0.4278334790935993	25	5.619148845231094	dctA
PA4708	PA4708	2.26168932050173e-06	5474.0	2.9245	0.013672666523275	5457.0	1.1789199999999997	0.6774939987434084	25	2.576524667727891	phuT
PA2009	PA2009	5.86374175225853e-07	5473.0	2.9135	0.0698789798838637	5118.0	0.8243399999999991	0.7083277213503174	25	2.949425720649956	hmgA
PA3334	PA3334	3.2975890035007002e-06	5472.0	2.9115	0.0150131867526356	5381.0	0.8586799999999998	0.5707122720776209	25	3.5969438549602497	
PA2367	PA2367	1.23408657392661e-06	5471.0	2.9075	0.0131280939735472	5363.0	0.8984399999999998	0.4405431855486289	25	4.560415564022456	hcp3
PA4306	PA4306	3.02018578803342e-06	5470.0	2.888	0.00454500150560883	5534.0	1.8897400000000002	0.8092783838086868	25	1.2335186753684355	flp
PA3841	PA3841	9.192501628528921e-07	5469.0	2.8615	0.0381820220610101	5197.5	0.9138000000000001	0.8176847013570289	25	2.381969476459078	exoS
PA4065	PA4065	5.29312985262735e-07	5468.0	2.8495	0.0882470022054153	3000.0	0.26431999999999967	0.23278431898791366	25	11.10547313169417	
PA4709	PA4709	8.52884421753403e-07	5467.0	2.8435	0.0210341203747649	5380.0	0.9766200000000006	0.5869921613616313	25	3.18041725747997	phuS
PA3479	PA3479	3.4255235917534304e-05	5466.0	2.8215	0.0063720157416505396	5544.0	2.1455400000000004	1.0873440972540998	25	0.621661534473788	rhlA
PA0931	PA0931	1.76932128067825e-06	5465.0	2.792	0.0908802951202347	4659.0	0.40234000000000003	0.3186513154426537	25	7.499294320126717	pirA
PA0434	PA0434	2.1739329631904997e-06	5464.0	2.778	0.171835222514829	1512.5	0.29375999999999985	0.3464724051060921	25	7.1700948283004236	
PA1245	PA1245	1.30254895704309e-05	5463.0	2.766	0.00407579240041806	5536.0	1.96134	0.7861689640274536	25	1.0235204349429146	aprX
PA5508	PA5508	7.941571751758909e-07	5462.0	2.7539999999999996	0.0159678932156194	5231.0	0.7594399999999998	0.41044410195949127	25	4.859516778235621	pauA7
PA5506	PA5506	1.07880103026518e-06	5461.0	2.75	0.0129772870323643	5330.0	0.8527799999999998	0.43150161934806225	25	4.396785353590169	
PA4835	PA4835	1.72818432904211e-06	5460.0	2.7495	0.26707205112152	1252.0	0.3057599999999999	0.3137840990766317	25	7.78796633478612	
PA3790	PA3790	3.34568692702327e-05	5459.0	2.7460000000000004	0.0739962411999125	4863.0	0.67694	0.6361913908827543	25	3.252260294074482	oprC
PA4064	PA4064	1.11063989235695e-06	5458.0	2.737	0.13470022611091803	3116.0	0.2668599999999999	0.22897459466063036	25	10.787834360668107	
PA1249	PA1249	1.7476232144623402e-06	5457.0	2.7315	0.00477758093867887	5539.0	1.9905400000000002	0.8592969500314389	25	0.8622863143793196	aprA
PA3190	PA3190	3.46711739460278e-06	5456.0	2.7215	0.143628449673292	4395.0	0.4836200000000002	0.34197774294048194	25	6.543934645447034	
PA3531	PA3531	8.1759599738667e-07	5455.0	2.7060000000000004	0.0314863836700962	5403.5	1.18344	0.7446133689148126	25	2.044765865833103	bfrB
PA2248	PA2248	3.2975890035007002e-06	5454.0	2.7039999999999997	0.0655661011478033	5233.0	0.8586800000000002	0.6504460309408205	25	2.8370070877838782	bkdA2
PA0517	PA0517	3.46711739460278e-06	5453.0	2.6975	0.0773188627169549	5270.0	0.7762399999999997	0.5589643720011743	25	3.4371779244562726	nirC
