	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA4726	PA4726	1.03210514995367e-05	5549.0	4.5309172961	-4.5309172961	0.846421940363771	4845.5	87.31975486661861	0.0	0.16707999999999987	0.10118441085463695	25	43.12756539511956	cbrB
PA1985	PA1985	0.0009256950258211481	5548.0	2.9733086354	2.9733086354	0.492810665103698	5521.0	99.49531362653208	0.0	0.5784800000000001	0.4313751383656687	25	5.551614876261014	pqqA
PA4131	PA4131	0.000347854211164523	5547.0	2.8816898638499997	-2.8816898638499997	0.7598621542810121	5492.0	98.97260273972603	0.0	0.42569999999999986	0.2921520722728718	25	8.406546100265516	
PA4739	PA4739	0.000222976451073916	5546.0	2.7845411844	2.7845411844	0.623753231811576	5524.0	99.54938716654651	0.0	0.5520599999999996	0.4467320533608486	25	4.997360649643625	
PA1216	PA1216	0.000222976451073916	5545.0	2.60059401205	2.60059401205	0.8329878390415358	3823.5	68.89870223503965	0.0	0.19604000000000016	0.1597469300696156	25	15.052270556949841	
PA1041	PA1041	0.00043233872200107405	5544.0	2.5964791294	2.5964791294	0.440235408955706	5543.0	99.89185291997116	0.0	0.5551799999999998	0.2967106432761276	25	6.879763755222989	
PA4133	PA4133	0.00183726115211415	5543.0	2.59111779985	-2.59111779985	0.6872009623922591	5389.0	97.11607786589762	0.0	0.4273000000000004	0.3139465519797916	25	6.892312676169421	
PA3874	PA3874	0.000347854211164523	5542.0	2.5417589228999997	-2.5417589228999997	0.76196221870053	5460.0	98.39581831290555	0.0	0.3412800000000004	0.24851161441671082	25	8.854632118763586	narH
PA1988	PA1988	0.000347854211164523	5541.0	2.4499896907	2.4499896907	0.618373421265361	5438.5	98.00829127613555	0.0	0.3554200000000002	0.22037315323484086	25	9.504649999121806	pqqD
PA4738	PA4738	0.000478625409052826	5540.0	2.4246339388	2.4246339388	0.599742763223557	5489.0	98.91852919971161	0.0	0.4172600000000004	0.3286601309356928	25	6.107750073259638	
PA1249	PA1249	0.00043233872200107405	5539.0	2.40386664145	2.40386664145	0.76196221870053	5053.0	91.05984138428262	0.0	0.25206	0.22840489997662763	25	9.421017857629987	aprA
PA2321	PA2321	0.000347854211164523	5538.0	2.24754751555	2.24754751555	0.8399083791533292	4512.0	81.30857966834895	0.0	0.2437399999999997	0.2892462949921168	25	6.927686024827431	
PA1123	PA1123	0.00257764216558393	5537.0	2.175899953	-2.175899953	0.682482964763505	4391.5	79.1366258111031	0.0	0.1618999999999998	0.10652992537310817	25	18.905485439384375	
PA4132	PA4132	0.0025177546952995303	5536.0	2.0867552607	-2.0867552607	0.75648460751975	5406.0	97.422494592646	0.0	0.33520000000000044	0.19968036959100402	25	8.771794965562355	
PA3915	PA3915	0.0009202912093884741	5535.0	2.0655932795500003	-2.0655932795500003	0.76196221870053	4771.5	85.98594087959626	0.0	0.2244	0.2052074153955779	25	8.972352563384398	moaB1
PA3875	PA3875	0.0023526329946137	5534.0	2.04260576145	-2.04260576145	0.76196221870053	5307.0	95.63806777217015	0.0	0.27046000000000026	0.21395077899678974	25	8.282960079694732	narG
PA4587	PA4587	0.000646342619969043	5533.0	1.9887072274000002	-1.9887072274000002	0.76196221870053	5385.0	97.04397981254506	0.0	0.3130199999999997	0.21531461863979393	25	7.782505609632137	ccpR
PA3873	PA3873	0.0011988028400653	5532.0	1.9539064102500001	-1.9539064102500001	0.774698278883331	5308.0	95.6560922855083	0.0	0.28598	0.21193038754899318	25	7.870161657985059	narJ
PA1217	PA1217	0.00103855725901672	5531.0	1.9417529511000002	1.9417529511000002	0.850698723460732	1612.0	29.03749098774333	0.0	0.11885999999999981	0.12058749589682466	25	15.116765942794583	
PA5167	PA5167	0.000599674990047699	5530.0	1.9254638203499999	-1.9254638203499999	0.848714877545147	4690.5	84.52595529920693	0.0	0.2086199999999998	0.2064832156213508	25	8.314689478191537	dctP
PA3872	PA3872	0.00110680793975753	5529.0	1.8917367071000002	-1.8917367071000002	0.700052654897556	5463.0	98.44989185291998	0.0	0.39459999999999984	0.2805479014357439	25	5.336474446745778	narI
PA3334	PA3334	0.00513690711208909	5528.0	1.8607900447499999	1.8607900447499999	0.8258677870213219	4921.5	88.68961788031723	0.0	0.19292000000000023	0.17781970503855885	25	9.379556919118356	
PA0572	PA0572	0.00110680793975753	5527.0	1.82033437375	1.82033437375	0.8949969197271529	2577.0	46.431146359048306	0.0	0.14270000000000008	0.1299471847841783	25	12.910124805983946	
PA0997	PA0997	0.0015932342437957	5526.0	1.81312710055	-1.81312710055	0.8267250728622509	5317.0	95.81831290555155	0.0	0.3238800000000004	0.26017875585835215	25	5.7239381272189	pqsB
PA2747	PA2747	0.0015932342437957	5525.0	1.77665758435	1.77665758435	0.47402219289121394	5546.0	99.94592645998559	0.0	0.5326999999999995	0.2650573051247597	25	4.693164686649488	
PA1555	PA1555	0.00110680793975753	5524.0	1.7666526274	-1.7666526274	0.7043877075039781	5416.0	97.6027397260274	0.0	0.3250999999999999	0.1761496759387699	25	8.183680269165455	ccoP2
PA1173	PA1173	0.00110680793975753	5523.0	1.7650700153499999	1.7650700153499999	0.440235408955706	5505.0	99.20692141312185	0.0	0.4281199999999999	0.2499125797153877	25	5.349670740354816	napB
PA3452	PA3452	0.0009256950258211481	5522.0	1.7637430311000002	1.7637430311000002	0.874920840738238	4389.5	79.10057678442682	0.0	0.15641999999999984	0.12679459110440558	25	12.676589885261697	mqoA
PA3038	PA3038	0.00110680793975753	5521.0	1.7496694505000001	-1.7496694505000001	0.847534488524226	5284.0	95.22350396539294	0.0	0.33270000000000005	0.2838200354097651	25	4.992492684507811	opdQ
PA1987	PA1987	0.00103855725901672	5520.0	1.7395245877	1.7395245877	0.76196221870053	5118.0	92.23143475126172	0.0	0.2550799999999995	0.18721376373902987	25	7.929142377423007	pqqC
PA1556	PA1556	0.00110680793975753	5519.0	1.7122684732	-1.7122684732	0.700052654897556	5335.0	96.14275414563807	0.0	0.3299400000000003	0.20625592516741573	25	6.702006122141599	ccoO2
PA0996	PA0996	0.0025177546952995303	5518.0	1.7019719281	-1.7019719281	0.835635488755962	5218.0	94.03388608507571	0.0	0.29923999999999956	0.2197447439644463	25	6.383460658913218	pqsA
PA3479	PA3479	0.0015932342437957	5517.0	1.7001970125	1.7001970125	0.724999116365636	4769.0	85.94087959625091	0.0	0.19282	0.13088145717913302	25	11.517116671744448	rhlA
PA4619	PA4619	0.00110680793975753	5516.0	1.69085341375	1.69085341375	0.9124824068241909	1927.5	34.72422494592646	0.0	0.12078000000000003	0.1323201672711559	25	11.865715152343643	
PA0587	PA0587	0.00112648604439867	5515.0	1.6908131322	1.6908131322	0.440235408955706	5523.0	99.53136265320836	0.0	0.3926800000000002	0.18588929725332065	25	6.983366720844443	
PA2381	PA2381	0.0166232978960079	5514.0	1.638117522	-1.638117522	0.6006993125388189	5393.0	97.18817591925018	0.0	0.40431999999999974	0.3873609933468606	25	3.1851361990266325	
PA0999	PA0999	0.00162717545183142	5513.0	1.63031330815	-1.63031330815	0.792943235243485	5287.0	95.27757750540735	0.0	0.2889799999999994	0.236153969900995	25	5.679910054920272	pqsD
PA4620	PA4620	0.00110680793975753	5512.0	1.6113105062	1.6113105062	0.842270761857908	2220.5	40.00540735400144	0.0	0.11219999999999977	0.09259319629432823	25	16.190287906626978	
PA0588	PA0588	0.00402377248515522	5511.0	1.6024164221500001	1.6024164221500001	0.440235408955706	5539.0	99.8197548666186	0.0	0.47997999999999985	0.27004445930253773	25	4.15648750968264	
PA2367	PA2367	0.00183726115211415	5510.0	1.59829511165	1.59829511165	0.565993792233056	5343.0	96.28695025234319	0.0	0.271	0.18498890732509732	25	7.174998386889366	hcp3
PA2322	PA2322	0.0054583913758837	5509.0	1.59561384425	1.59561384425	0.86974103963324	2785.0	50.1802451333814	0.0	0.20309999999999984	0.2822684154016056	25	4.933296707209557	
PA0998	PA0998	0.00941463958485225	5508.0	1.5658060066	-1.5658060066	0.815974619408726	5278.5	95.12436914203316	0.0	0.3209599999999998	0.23756538222841608	25	5.240014327521409	pqsC
PA2664	PA2664	0.0054583913758837	5507.0	1.56129481595	1.56129481595	0.8096567553343851	3220.0	58.020908435472236	0.0	0.14300000000000063	0.12071807721574591	25	11.748818807105746	fhp
PA1001	PA1001	0.0038052738747829796	5506.0	1.55902684695	-1.55902684695	0.8807516239128751	4946.5	89.14023071377073	0.0	0.24376000000000045	0.245338164581053	25	5.3610364665276995	phnA
PA4134	PA4134	0.00181669615134485	5505.0	1.5582299888	-1.5582299888	0.859420330426329	4690.5	84.52595529920693	0.0	0.22412000000000007	0.1958256707720756	25	6.812743107377328	
PA2195	PA2195	0.0134039813203279	5504.0	1.54983384255	-1.54983384255	0.811880413845073	5321.0	95.89041095890411	0.0	0.3085400000000003	0.2194703814489171	25	5.655860414307967	hcnC
PA4607	PA4607	0.00257764216558393	5503.0	1.5118091336000001	1.5118091336000001	0.397865243536993	5544.0	99.9098774333093	0.0	0.5053399999999995	0.22889311188121547	25	4.397114117275446	
PA3790	PA3790	0.0448081734502196	5502.0	1.5112542463499998	-1.5112542463499998	0.7214890795668579	5390.0	97.13410237923576	0.0	0.2818599999999999	0.16512612099039123	25	7.4451833481968555	oprC
PA2679	PA2679	0.00584898285503005	5501.0	1.50944844685	1.50944844685	0.903681689336562	2885.5	51.991708723864456	0.0	0.1458600000000002	0.14290720474023208	25	9.541775373247603	
PA2939	PA2939	0.00521323934476603	5500.0	1.50204274655	1.50204274655	0.641062503161728	4807.0	86.62581110310022	0.0	0.20996000000000004	0.18278533174190967	25	7.068853579423991	
PA0511	PA0511	0.001667126905862	5499.0	1.500236451	-1.500236451	0.76196221870053	5470.0	98.57606344628695	0.0	0.3271200000000001	0.17070633165371066	25	6.872132038896752	nirJ
PA0887	PA0887	0.0015932342437957	5498.0	1.4893087050999998	-1.4893087050999998	0.7208731947657241	5288.0	95.2956020187455	0.0	0.24828000000000017	0.21204117524669622	25	5.8527722441461805	acsA
PA4130	PA4130	0.00348247781646228	5497.0	1.4754304308500001	-1.4754304308500001	0.794947343416052	4760.5	85.78767123287672	0.0	0.25458000000000036	0.2280321925372234	25	5.353851214015368	
PA2366	PA2366	0.00296260619229317	5496.0	1.4690349958500002	1.4690349958500002	0.504823216135569	5296.5	95.44881038211969	0.0	0.30949999999999966	0.2287314655514913	25	5.069416195337452	hsiC3
PA5446	PA5446	0.0023526329946137	5495.0	1.4641881136500001	1.4641881136500001	0.534816092458675	5519.0	99.4592645998558	0.0	0.5444999999999997	0.4370446678163081	25	2.1043343652840303	
PA4500	PA4500	0.0027267763596216603	5494.0	1.45460147885	-1.45460147885	0.8218779424428629	4990.0	89.92429704397982	0.0	0.22628000000000043	0.20928290661207855	25	5.8691916063970995	dppA3
PA3329	PA3329	0.0023526329946137	5493.0	1.4462760433500002	1.4462760433500002	0.8675766968496971	4271.0	76.96467195385725	0.0	0.20011999999999966	0.2535352654628806	25	4.9151191692204526	
PA3183	PA3183	0.00504131435409972	5492.0	1.43574913815	1.43574913815	0.8727986060624291	5091.0	91.74477289113194	0.0	0.2601400000000005	0.27427550473930357	25	4.286234526365764	zwf
PA3877	PA3877	0.0128471265842686	5491.0	1.4137201751	-1.4137201751	0.755712365924989	5365.0	96.68348954578227	0.0	0.30555999999999967	0.19499077542283935	25	5.683141536808315	narK1
PA0447	PA0447	0.00183726115211415	5490.0	1.41193193985	1.41193193985	0.8248774359890271	4361.5	78.5958904109589	0.0	0.1964199999999999	0.17353816102901834	25	7.004291924280259	gcdH
PA4496	PA4496	0.0025177546952995303	5489.0	1.40617431325	-1.40617431325	0.8093944111192579	4879.5	87.93258832011536	0.0	0.19958000000000006	0.14391307272100076	25	8.384188388425157	dppA1
