	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
armZ	armZ	4.790259851237479e-10	5549.0	5.024	0.0023535108529097104	2543.0	0.3008400000000011	1.1563851967806118	25	4.08441755666652
PA5470	PA5470	4.790259851237479e-10	5545.0	4.3553333333333395	0.00146468290274375	2599.5	0.29388000000000025	1.176966659428977	25	3.450780275546475
PA5446	PA5446	4.790259851237479e-10	5544.0	4.273	6.96348430131442e-05	5391.0	1.0668000000000004	0.6795197718759695	25	4.718332170303967
PA4826	PA4826	7.55551590902568e-10	5541.0	4.08466666666667	0.000246823143480957	5325.0	0.8520800000000007	0.6306797353003498	25	5.125559750428969
PA0805	PA0805	8.417569794702679e-09	5537.0	3.89266666666667	0.005663986835942179	5238.0	0.7859333333333332	0.7943691184180665	25	3.910944246574176
PA4354	PA4354	5.23193568522121e-09	5534.0	3.78566666666667	0.00164875091068513	5268.0	0.7896400000000005	0.5021866806499575	25	5.965962025892538
bfrB	bfrB	2.90152006439352e-09	5531.0	3.715	0.0040028715223754605	471.5	0.02874666666666675	0.6085765060398769	25	6.0571732506081855
PA3732	PA3732	2.57326203948694e-09	5522.0	3.50933333333334	0.0170691691386007	666.0	0.10306666666666692	0.7473290093045691	25	4.557921108718089
PA3731	PA3731	3.977784831871861e-09	5512.0	3.26966666666667	0.0213437148566888	133.0	0.15338666666666756	0.7350930382032029	25	4.239300113108355
PA3819	PA3819	6.233665993796899e-09	5510.0	3.265	8.71384904852055e-05	5440.0	1.1595466666666683	0.7428986327343181	25	2.834105812772848
PA5212	PA5212	2.34517580817507e-07	5507.0	3.2013333333333303	0.000183689500217372	5348.0	1.175133333333334	1.0554839551739426	25	1.919688110906509
aguB	aguB	3.9699721943952103e-08	5506.0	3.182	0.0007630579705579179	1742.5	-0.16370666666666608	0.3444562988999503	25	9.71300765104734
