	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA2398	PA2398	6.80776162339078e-06	5549.0	7.08466666666667	0.0321233674934929	5520.0	1.8777199999999998	1.108249101561157	25	4.698354060771898	fpvA
PA2386	PA2386	2.6688994571138102e-05	5548.0	6.1023333333333305	0.0654173885798447	5488.0	1.4496533333333337	1.1020278172532667	25	4.221926095837128	pvdA
PA3540	PA3540	0.0018015413937784198	5547.0	5.742000000000001	0.0656366642532771	5416.0	1.4040000000000008	1.3658854101657658	25	3.175961883562058	algD
PA4525	PA4525	0.00114671450890431	5546.0	5.44433333333333	0.0295980523452041	5547.0	2.8574933333333337	0.8879064281697627	25	2.9134151053869917	pilA
PA0621	PA0621	0.00039698499167138197	5545.0	5.43833333333333	0.0138510240026668	5548.0	2.7621200000000012	0.9683800996547832	25	2.7635980275589813	
PA0622	PA0622	0.0005406810527231951	5544.0	5.34533333333333	0.0125643445287691	5540.0	2.4291066666666667	0.9509670210817955	25	3.0665907460694473	
PA3551	PA3551	0.0016723429036005599	5543.0	5.111000000000001	0.0850993606373811	5434.0	1.293306666666667	1.2664838754072898	25	3.0144034262620183	algA
PA2396	PA2396	2.92941871250272e-05	5542.0	5.01933333333333	0.0457153151207893	5490.0	1.4646	1.0026347189428604	25	3.545392221288033	pvdF
PA2399	PA2399	5.83864546503416e-05	5541.0	4.9666666666666694	0.06237679519108099	5469.0	1.1536533333333336	0.8705868576234471	25	4.379819543499897	pvdD
PA2397	PA2397	2.6688994571138102e-05	5540.0	4.92833333333334	0.11689254403507901	5356.0	0.9965599999999998	0.791953998851131	25	4.964648627366073	pvdE
PA0623	PA0623	0.000834298074331542	5539.0	4.7406666666666695	0.0138062680666173	5529.0	2.039973333333333	0.7965410461163618	25	3.3905262591311693	
PA2427	PA2427	0.0006071135038113259	5538.0	4.6716666666666695	0.14780717539532598	5403.0	0.8757466666666669	0.8267285218793958	25	4.591495151722557	
PA3547	PA3547	0.0118458707264343	5537.0	4.61933333333333	0.0749783527769257	5352.5	1.1789333333333338	1.1762777804016649	25	2.9248193388684083	algL
PA2400	PA2400	0.000121523623824623	5536.0	4.53166666666667	0.0723220444897178	5448.0	1.1038533333333325	0.8592184006409539	25	3.9894552197395687	pvdJ
PA1151	PA1151	5.7310941892624705e-05	5535.0	4.454	0.0206929361720575	5539.0	2.2739333333333334	0.7346668494151811	25	2.967422129366625	imm2
PA0619	PA0619	0.000270989439500365	5534.0	4.43133333333334	0.0166696447048734	5518.0	1.8194533333333336	0.7951173502953764	25	3.284898762465345	
PA3549	PA3549	0.0187386591851726	5533.0	4.35433333333333	0.103362916972692	5393.0	1.1555466666666674	1.0199955150591313	25	3.1360791488198085	algJ
PA1092	PA1092	0.0018015413937784198	5532.0	4.34633333333333	0.0157111117342154	5549.0	3.0070666666666677	1.1408405405177755	25	1.173929764153394	fliC
PA0616	PA0616	5.83864546503416e-05	5531.0	4.32766666666667	0.0136989768981358	5517.0	1.8949866666666673	0.8263657017101834	25	2.943829826147811	
PA0615	PA0615	0.000834298074331542	5530.0	4.305	0.0172221321263962	5508.0	1.6473066666666667	0.6909195290014274	25	3.846603289929358	
PA3550	PA3550	0.0218625366013622	5529.0	4.24533333333333	0.10230657762703699	5247.0	0.9933600000000008	1.0470882330433195	25	3.1057299955339968	algF
PA1244	PA1244	0.00044203314447180403	5528.0	4.198	0.0298273555207737	5541.0	2.247160000000001	0.7020419629749898	25	2.7788082520495974	
PA3542	PA3542	0.0162464701136371	5527.0	4.19433333333333	0.128936153390361	5105.0	1.0840266666666667	1.1924553874720478	25	2.60832119955479	alg44
PA0627	PA0627	0.0102858572431527	5526.0	4.01666666666667	0.0228454280277654	5516.0	1.850213333333333	0.7509546632762171	25	2.8849322592680533	
PA0618	PA0618	0.000629982835075598	5525.0	3.96566666666667	0.0203015447134359	5503.0	1.648919999999999	0.6903488401606188	25	3.355907233982821	
PA0620	PA0620	0.00062753792096854	5524.0	3.95466666666667	0.0115837107403041	5523.0	1.9356000000000002	0.7932634598080686	25	2.5452661933466425	
PA3545	PA3545	0.0415476215780551	5523.0	3.9396666666666698	0.08732923424267501	5221.0	1.0907866666666675	1.0512051720305151	25	2.710108431541567	algG
PA2401	PA2401	0.00010552344475609599	5522.0	3.9193333333333396	0.0967037734702466	5325.0	0.8957599999999996	0.7939323049321112	25	3.808351561650945	
PA0626	PA0626	0.0102858572431527	5521.0	3.85466666666667	0.0406405897846323	5494.0	1.4018799999999993	0.6062452739792875	25	4.045865216510489	
PA3543	PA3543	0.0592276196524516	5520.0	3.8339999999999996	0.136746043488698	5151.0	1.0195066666666681	1.1094461586255053	25	2.536845354280384	algK
PA3155	PA3155	0.00062753792096854	5519.0	3.8276666666666697	0.0244432577371628	5544.0	2.5139466666666666	0.6984126093957383	25	1.8810084215641873	wbpE
PA0624	PA0624	0.007017708934772771	5518.0	3.8226666666666698	0.0292470918164168	5501.0	1.5378933333333331	0.6855440980494034	25	3.3327882769821255	
PA3544	PA3544	0.0370238011465812	5517.0	3.82033333333333	0.09229292607360902	5219.0	1.0554000000000006	1.0768629250091484	25	2.5675815083984252	algE
PA0723	PA0723	0.00510419911502217	5516.0	3.79633333333333	0.047857698650717	5486.0	1.2871066666666666	0.6024502186288311	25	4.165035697684085	coaB
PA1094	PA1094	0.00062753792096854	5515.0	3.78366666666667	0.0115721796736745	5542.0	2.4476266666666664	0.8408578364450859	25	1.588901169843895	fliD
PA3548	PA3548	0.0370238011465812	5514.0	3.717	0.097935464579865	5056.0	0.9856800000000008	1.0588680822253334	25	2.5794714618839163	algI
PA3546	PA3546	0.037095783607377	5513.0	3.6689999999999996	0.0923249804579257	5368.0	1.0709333333333333	1.0163795450665214	25	2.556197317505661	algX
PA3541	PA3541	0.0300417134488917	5512.0	3.59533333333333	0.112423113738274	5133.0	0.9860000000000002	1.0500770121669563	25	2.4848971104973208	alg8
PA0628	PA0628	0.00437942619760154	5511.0	3.551	0.0337518875732921	5496.0	1.4699733333333327	0.7106073492547171	25	2.9285183566553905	
PA0625	PA0625	0.0006071135038113259	5510.0	3.509	0.0293690072642637	5491.0	1.3734799999999996	0.6039148830140926	25	3.5361274577996573	
PA3159	PA3159	0.00024495488722558903	5509.0	3.491	0.0135152962543453	5545.0	2.537133333333334	0.7118183288826809	25	1.3400422944488108	wbpA
PA0617	PA0617	0.0031548312938799697	5508.0	3.49033333333333	0.0306465200055688	5495.0	1.4654933333333344	0.701772947348094	25	2.8853206833514955	
PA0985	PA0985	0.000834298074331542	5507.0	3.347	0.0419764446219975	5480.0	1.0845999999999996	0.5406540534903588	25	4.184561246502048	pyoS5
PA0648	PA0648	0.0154872551326642	5506.0	3.24433333333333	0.0298060008105626	5521.0	1.723253333333333	0.7866905674335296	25	1.9335175264174227	
PA0729	PA0729	0.000940008320121	5505.0	3.20366666666667	0.0157111117342154	5519.0	1.7994266666666663	0.6518069863137461	25	2.1543800994548947	
PA0958	PA0958	0.0944459553640148	5504.0	3.19433333333333	0.0787266605839674	5484.0	1.2901333333333325	0.6815456154403209	25	2.793943584788182	oprD
PA1096	PA1096	0.0352592848443764	5503.0	3.1866666666666696	0.0112598264693039	5543.0	2.4346000000000005	0.9125279599978171	25	0.824157395318022	
PA0644	PA0644	0.09807235624997598	5502.0	3.15266666666667	0.0694051204790655	5493.0	1.318706666666667	0.5451182875371251	25	3.364334020577326	
PA0820	PA0820	0.00114671450890431	5501.0	3.1483333333333303	0.0231289731091891	5513.0	1.648519999999999	0.6389988775855201	25	2.347129840040454	
PA3577	PA3577	0.0645181253306	5500.0	3.071	0.15145119726794698	5307.0	0.7709199999999998	0.5975945476101113	25	3.848897231740879	
PA3150	PA3150	0.0573996288318079	5499.0	3.069	0.0371412229942402	5505.0	1.4392666666666656	0.5255268872848079	25	3.101141678503891	wbpG
PA1095	PA1095	0.0099049657459815	5498.0	3.0086666666666697	0.00957556166294985	5546.0	2.5504533333333335	0.9437437705460339	25	0.48552726665228413	
PA2733	PA2733	0.0027288830415366397	5497.0	2.9793333333333303	0.018385894784218003	5527.0	1.8471866666666665	0.5623220136514645	25	2.0133422472917535	
PA3158	PA3158	0.0218625366013622	5496.0	2.9633333333333303	0.0143858531006305	5538.0	2.167213333333333	0.5876164886877991	25	1.354829238671987	wbpB
PA3142	PA3142	0.019557292790775	5495.0	2.872	0.0293690072642637	5512.0	1.7402533333333325	0.6522170826979038	25	1.7352300279918822	
PA2392	PA2392	0.000624093232692718	5494.0	2.78366666666667	0.188956438211428	5033.0	0.6853333333333333	0.6488459341756692	25	3.233946955372663	pvdP
PA0645	PA0645	0.0645181253306	5493.0	2.737	0.047857698650717	5458.0	0.9538933333333323	0.3856929876737981	25	4.623124411519609	
PA2735	PA2735	0.00062753792096854	5492.0	2.7260000000000004	0.0135152962543453	5533.0	1.9030266666666664	0.5475024092624146	25	1.5031410262505127	
PA0647	PA0647	0.0615408932071054	5491.0	2.7056666666666698	0.0391444710491192	5482.0	1.1461466666666664	0.5259775562033316	25	2.9649934329082406	
PA0722	PA0722	0.0047209390152648896	5490.0	2.69533333333333	0.0778347678948552	5442.0	1.0561333333333336	0.6806665646425003	25	2.40822758917347	
PA3151	PA3151	0.0862061403445681	5489.0	2.69433333333333	0.0243156831863889	5530.0	1.8311866666666667	0.6179746494860515	25	1.3967347485605002	hisF2
PA5482	PA5482	0.28017082294391304	5488.0	2.694	0.250640257592978	5399.0	0.9102533333333335	0.833009027339817	25	2.141329335124968	
PA1150	PA1150	0.00148439415377677	5487.0	2.6919999999999997	0.0409132157556241	5478.0	1.1432133333333332	0.4958470014922842	25	3.1235172583589113	pys2
PA0646	PA0646	0.0370238011465812	5486.0	2.6603333333333303	0.0306358669580638	5487.0	1.2684799999999994	0.5977174258051292	25	2.3286142803323755	
PA1093	PA1093	0.024822188654608	5485.0	2.635	0.009942261225100009	5535.0	2.0148666666666672	0.686809869102284	25	0.9029184949597432	
PA3156	PA3156	0.0192213720065412	5484.0	2.53233333333333	0.0244432577371628	5524.0	1.7467200000000003	0.4906983277828535	25	1.6010108224395332	wbpD
PA1471	PA1471	0.00368475087575324	5483.0	2.52766666666667	0.248457253486869	5376.0	0.7638133333333343	0.6102468465331907	25	2.890393196382378	
PA3144	PA3144	0.001383154751145	5482.0	2.52566666666667	0.0222037341571836	5511.0	1.5978000000000008	0.4908820009828116	25	1.890203072854486	
PA1971	PA1971	0.0032814122190041	5481.0	2.4459999999999997	0.236827895104736	4185.5	0.37466666666666726	0.3265565574065011	25	6.342954340846124	braZ
PA4175	PA4175	0.12345859918539001	5480.0	2.41366666666667	0.42214703587740005	4420.0	0.41948000000000013	0.33456997109058606	25	5.960447257613375	piv
PA5183	PA5183	0.11192254927791198	5479.0	2.4103333333333303	0.0627980745575828	5409.0	0.9881333333333328	0.6664943041072496	25	2.1338516942091417	
PA5212	PA5212	0.0606556746849264	5478.0	2.396	0.18220836100006801	5152.0	0.6643200000000001	0.5422399315186347	25	3.1935678273456123	
PA0614	PA0614	0.0102858572431527	5477.0	2.39466666666667	0.228827197951992	5244.0	0.8560266666666666	0.7731511514335109	25	1.9900895150284497	
PA4708	PA4708	0.00502090871066334	5476.0	2.374	0.0478075899383121	5464.0	0.9749733333333331	0.6506215185269925	25	2.1502926460748855	phuT
PA0567	PA0567	0.067190816465336	5475.0	2.3383333333333303	0.14469922548906303	5309.0	0.9110800000000009	0.6237945581204932	25	2.2880182501650466	
PA2460	PA2460	0.0218279996403307	5474.0	2.3343333333333303	0.030828905927372002	5509.0	1.4355066666666658	0.48115395741980616	25	1.868064582668369	
PA4710	PA4710	0.043314142063048997	5473.0	2.32566666666667	0.349400028005391	3516.5	0.42363999999999974	0.4184576499656979	25	4.545326550542413	phuR
PA2634	PA2634	0.11449180676968598	5472.0	2.3156666666666696	0.337259501907437	4702.0	0.46525333333333235	0.3880770885618813	25	4.768159182472009	aceA
PA2445	PA2445	0.024822188654608	5471.0	2.31533333333333	0.14323163607006698	5362.0	0.7919866666666667	0.529525000983587	25	2.8768172679987973	gcvP2
PA1086	PA1086	0.0300606557959774	5470.0	2.3036666666666696	0.008659495639818009	5525.0	1.7373999999999996	0.5695326300280499	25	0.9942655377599366	flgK
PA1087	PA1087	0.004485018635847229	5469.0	2.302	0.0148898505758503	5506.0	1.5049599999999996	0.5594030243962793	25	1.4248045956851672	flgL
PA2485	PA2485	0.15605428096296	5468.0	2.2866666666666697	0.15813676389052403	5377.0	0.8790666666666672	0.7030864232215829	25	2.002029840869772	
PA2403	PA2403	0.0199982815032412	5467.0	2.28533333333334	0.09229292607360902	5341.0	0.771613333333333	0.5005444598597575	25	3.0241469467549815	fpvG
PA0445	PA0445	0.0154872551326642	5466.0	2.27766666666667	0.0528879327058344	5502.0	1.37836	0.4428351829510159	25	2.0307931738254554	
PA0643	PA0643	0.0402957865821506	5465.0	2.24033333333333	0.0459536585459293	5455.0	1.0547866666666663	0.500467548805522	25	2.3688782009867304	
PA3147	PA3147	0.0396771232185082	5464.0	2.238	0.0206750778417168	5536.0	2.0171066666666664	0.6469982448885693	25	0.3414125696297329	wbpJ
PA3149	PA3149	0.129219917969319	5463.0	2.22933333333334	0.0289939248763056	5515.0	1.5688799999999998	0.5206850355985818	25	1.268431562612665	wbpH
PA0672	PA0672	0.00436117765798835	5462.0	2.20633333333333	0.19228789964583703	5467.0	0.9043333333333327	0.7341323929444679	25	1.7735220683804984	hemO
PA0715	PA0715	0.0439671921762972	5461.0	2.19133333333333	0.0745048319240635	4874.0	0.4802666666666664	0.23952120450475195	25	7.143695983846462	
PA0062	PA0062	0.126750411254962	5460.0	2.18066666666667	0.0912983120779734	5378.0	0.9881066666666679	0.7516439188477093	25	1.5866023393473723	
PA3160	PA3160	0.0220326647320081	5459.0	2.156	0.0237013648506293	5522.0	1.6661866666666671	0.4843548121718978	25	1.0112696746770382	wzz
PA3408	PA3408	0.009736804439494559	5458.0	2.15566666666667	0.269081383687415	3456.0	0.35150666666666586	0.4076187184485387	25	4.4260970322141295	hasR
PA2731	PA2731	0.0099049657459815	5457.0	2.136	0.0253803808436364	5528.0	1.779533333333333	0.5548290360635965	25	0.6424801938913083	
PA2734	PA2734	0.0272052978024412	5456.0	2.13233333333334	0.0338082490143004	5504.0	1.4744399999999993	0.44939688719685467	25	1.463947241461768	
PA2494	PA2494	0.307463445904279	5455.0	2.116	0.49802968399610703	4793.0	0.6550133333333344	0.6826188031180882	25	2.1402672472441773	mexF
