	Gene ID	Adj P-value (Real)_grp_1v2	Rank (Real)_grp_1v2	Test statistic (Real)_grp_1v2	Median adj p-value (simulated)_grp_1v2	Rank (simulated)_grp_1v2	Mean test statistic (simulated)_grp_1v2	Std deviation (simulated)_grp_1v2	Number of experiments (simulated)_grp_1v2	Z score_grp_1v2	Gene Name_grp_1v2	Adj P-value (Real)_grp_1v3	Rank (Real)_grp_1v3	Test statistic (Real)_grp_1v3	Median adj p-value (simulated)_grp_1v3	Rank (simulated)_grp_1v3	Mean test statistic (simulated)_grp_1v3	Std deviation (simulated)_grp_1v3	Number of experiments (simulated)_grp_1v3	Z score_grp_1v3	Gene Name_grp_1v3	mean Z score	max Z score
0	PA5530	8.781217508934929e-05	5549.0	4.255	0.6587821131526179	5151.0	0.49472	0.4431347161605225	25	8.485636224984603		0.395383271431327	3996.5	0.317499999999998	0.96967085134317	4025.0	0.21107999999999974	0.29202510166079904	25	0.3644207275154385		4.425028476250021	8.485636224984603
1	PA0523	0.00130276043595332	5548.0	3.5580000000000003	0.856209066190708	5390.0	0.4568200000000002	0.2900275087527617	25	10.692709851339126	norC	0.42567600993107707	4652.0	0.424500000000002	0.9708126513406652	5215.5	0.22377999999999945	0.1959857605371711	25	1.024156037917528	norC	5.858432944628327	10.692709851339126
2	PA0524	0.00130276043595332	5547.0	3.2585	0.698655367590459	5430.0	0.5704399999999996	0.33189046009188045	25	8.099238523625653	norB	0.485254560418717	3918.0	0.306500000000003	0.96967085134317	5139.0	0.2539399999999997	0.21046829333654965	25	0.2497288269257599	norB	4.174483675275706	8.099238523625653
3	PA5332	0.0530709759581141	5546.0	2.938	0.9505969739097327	2092.0	0.11007999999999983	0.0793609475749883	25	35.633647107450344	crc	0.441874103014114	3803.5	0.292499999999999	0.9818743548804252	2725.5	0.09666000000000012	0.07966737098712343	25	2.4582209450799164	crc	19.04593402626513	35.633647107450344
4	PA3874	0.00625019228917303	5545.0	2.823	0.8268626925666441	4875.5	0.3377000000000004	0.22956131170851324	25	10.826301616344324	narH	0.000347913254015501	5542.0	2.542	0.9627488062498348	3008.0	0.2008199999999999	0.2297054218631621	25	10.192097256610099	narH	10.50919943647721	10.826301616344324
5	PA4131	0.0102572433220053	5544.0	2.7960000000000003	0.6329305320152969	5545.0	0.9391200000000001	0.4648798518613886	25	3.994322387956832		0.000347913254015501	5547.0	2.8815	0.964948778846976	5520.0	0.32657999999999954	0.2176087218687099	25	11.740889694400499		7.867606041178665	11.740889694400499
6	PA3875	0.00329542367948171	5543.0	2.7605	0.807993459355642	5275.5	0.39764000000000016	0.23626589540882384	25	10.00085093073384	narG	0.0023563519979474604	5534.0	2.0425	0.973142675814635	4066.5	0.1722999999999998	0.209915756912148	25	8.909288314086393	narG	9.455069622410116	10.00085093073384
7	PA3392	0.00130276043595332	5542.0	2.653	0.7811269428487241	5474.0	0.5919999999999997	0.3388661240076971	25	6.082047906190783	nosZ	0.0025258611685787893	5483.0	1.3465	0.971568611816902	5173.0	0.21989999999999987	0.14618980242593296	25	7.706419882267728	nosZ	6.894233894229256	7.706419882267728
8	PA0518	0.00130276043595332	5541.0	2.619	0.6587821131526179	5532.0	0.8539599999999997	0.4185139115569121	25	4.217398636604171	nirM	0.040582240708896	5337.0	0.8429999999999979	0.9621645734876628	5435.0	0.28278000000000025	0.2226024614269427	25	2.5166837617555258	nirM	3.3670411991798486	4.217398636604171
9	PA0997	0.0456084808009459	5540.0	2.5095	0.6587821131526179	5473.0	0.7405200000000004	0.5125273464248843	25	3.4514841253631725	pqsB	0.0016025893473352699	5526.0	1.813	0.9621645734876628	5519.0	0.3269399999999997	0.21074403510736295	25	7.051492580764773	pqsB	5.251488353063973	7.051492580764773
