	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)	Gene Name
PA5530	PA5530	8.781217508934929e-05	5549.0	4.255	0.6587821131526179	5151.0	0.49472	0.4431347161605225	25	8.485636224984603	
PA0523	PA0523	0.00130276043595332	5548.0	3.5580000000000003	0.856209066190708	5390.0	0.4568200000000002	0.29002750875276173	25	10.692709851339128	norC
PA0524	PA0524	0.00130276043595332	5547.0	3.2585	0.698655367590459	5430.0	0.5704399999999996	0.33189046009188045	25	8.099238523625653	norB
PA5332	PA5332	0.0530709759581141	5546.0	2.938	0.9505969739097329	2092.0	0.11007999999999983	0.0793609475749883	25	35.633647107450344	crc
PA3874	PA3874	0.00625019228917303	5545.0	2.823	0.8268626925666441	4875.5	0.3377000000000004	0.22956131170851324	25	10.826301616344322	narH
PA4131	PA4131	0.0102572433220053	5544.0	2.7960000000000003	0.6329305320152969	5545.0	0.93912	0.46487985186138864	25	3.9943223879568324	
PA3875	PA3875	0.00329542367948171	5543.0	2.7605	0.807993459355642	5275.5	0.39764000000000016	0.23626589540882384	25	10.00085093073384	narG
PA3392	PA3392	0.00130276043595332	5542.0	2.653	0.7811269428487241	5474.0	0.5919999999999997	0.3388661240076971	25	6.082047906190783	nosZ
PA0518	PA0518	0.00130276043595332	5541.0	2.6189999999999998	0.6587821131526179	5532.0	0.8539599999999997	0.4185139115569121	25	4.217398636604171	nirM
PA0997	PA0997	0.0456084808009459	5540.0	2.5095	0.6587821131526179	5473.0	0.7405200000000004	0.5125273464248843	25	3.4514841253631725	pqsB
PA0755	PA0755	0.00130276043595332	5539.0	2.4905	0.9315337109749499	2117.0	0.10894000000000005	0.07249027520985162	25	32.85351025507405	opdH
PA4133	PA4133	0.00822749482601912	5538.0	2.4635	0.6587821131526179	5537.0	0.9487800000000002	0.451069171524723	25	3.35806589237717	
PA0515	PA0515	0.00158009116573401	5537.0	2.2875	0.698655367590459	5511.0	0.7007799999999998	0.3810792262334261	25	4.163753599699164	
PA3190	PA3190	0.00948374212558262	5536.0	2.2365	0.92347201037686	3534.0	0.1806600000000006	0.14919930183035998	25	13.779152950310017	
PA3187	PA3187	0.00857644317639251	5535.0	2.2159999999999997	0.8924994014279599	4436.0	0.22669999999999996	0.14586409199434008	25	13.638037798070206	
PA3584	PA3584	0.007599669686430459	5534.0	2.2155	0.7570009833318659	5030.0	0.43646	0.3399402190091664	25	5.233390756720166	glpD
PA0998	PA0998	0.058130245414931	5533.0	2.195	0.6587821131526179	5457.0	0.6850199999999999	0.500511727301835	25	3.0168723680861973	pqsC
PA2195	PA2195	0.0137905307608391	5532.0	2.1519999999999997	0.6587821131526179	5462.0	0.6248600000000002	0.33209808164657184	25	4.598460769265222	hcnC
PA4587	PA4587	0.00330561108985099	5531.0	2.1515	0.5488815952719489	5548.0	1.19362	0.4743899872467798	25	2.019182583425199	ccpR
PA0999	PA0999	0.0208291680335675	5530.0	2.13	0.6740393429707049	5436.0	0.6694	0.46998845287233737	25	3.107735926432945	pqsD
PA3452	PA3452	0.00327878227580453	5529.0	2.125	0.5488815952719489	5427.0	0.6334199999999993	0.2837319627159878	25	5.257003778220976	mqoA
PA0517	PA0517	0.00337811099736005	5528.0	2.0885	0.6740393429707049	5531.0	0.7493199999999999	0.4064131436522854	25	3.2951198082947855	nirC
PA2110	PA2110	0.0530709759581141	5527.0	2.083	0.7698983485510641	4366.0	0.3070599999999998	0.23393283045922905	25	7.591666362150565	
PA3919	PA3919	0.0126358285234339	5526.0	2.076	0.6329305320152969	5487.0	0.7172199999999992	0.25114172957382747	25	5.410411094586986	
PA2113	PA2113	0.00531208876236628	5525.0	2.0669999999999997	0.7408751489234421	3959.0	0.3147000000000001	0.28379724276320933	25	6.1744785923169045	opdO
PA0754	PA0754	0.00531208876236628	5524.0	2.029	0.949434730350187	1861.5	0.1271600000000001	0.1601737155923733	25	11.873608556599882	
PA3873	PA3873	0.00516862100643986	5523.0	2.017	0.8297638358181291	4806.5	0.32119999999999976	0.21340151905113797	25	7.946522628049481	narJ
PA1657	PA1657	0.00857644317639251	5522.0	2.015	0.6329305320152969	5517.0	0.7747600000000001	0.3742881332164654	25	3.313596905522839	hsiB2
PA2193	PA2193	0.0357876539747202	5520.5	2.012	0.6329305320152969	5535.0	0.8688600000000001	0.4235334628652932	25	2.6990547388308275	hcnA
PA4132	PA4132	0.0615371032461054	5520.5	2.012	0.6740393429707049	5478.0	0.6143399999999998	0.3197961499142852	25	4.370471628175055	
PA0519	PA0519	0.00625019228917303	5519.0	2.004	0.6740393429707049	5547.0	1.0104799999999998	0.5356292148803439	25	1.8548652172043045	nirS
PA3877	PA3877	0.007599669686430459	5518.0	1.993	0.700186944601479	5250.0	0.45719999999999955	0.24999291656631645	25	6.143374064731125	narK1
PA1123	PA1123	0.0144918692956724	5517.0	1.9885	0.6329305320152969	5519.0	0.6765400000000003	0.3033729113374056	25	4.324578599375547	
PA3872	PA3872	0.00531208876236628	5516.0	1.9809999999999999	0.7993079743008241	5018.5	0.3617400000000005	0.2382284932580482	25	6.797087862391099	narI
PA3967	PA3967	0.00948374212558262	5515.0	1.9709999999999999	0.6740393429707049	5248.5	0.4972799999999999	0.28976096758075154	25	5.0859852253540625	
PA3915	PA3915	0.00516862100643986	5514.0	1.9669999999999999	0.7661941288025691	4319.0	0.26043999999999995	0.18396231045153466	25	9.276682793400758	moaB1
PA0511	PA0511	0.00625019228917303	5513.0	1.9609999999999999	0.698655367590459	5440.0	0.5070400000000003	0.2973975986228984	25	4.888943309335957	nirJ
PA2112	PA2112	0.00857644317639251	5512.0	1.9585	0.7377250842643559	4428.5	0.3316200000000001	0.2534804923460586	25	6.4181664827245895	
PA0516	PA0516	0.0037249294527257203	5511.0	1.932	0.698655367590459	5475.0	0.5569800000000004	0.3090329162618981	25	4.449428936672567	nirF
PA0493	PA0493	0.0119292227363539	5510.0	1.9315	0.758487496977818	4862.0	0.3021399999999998	0.17838468030261578	25	9.133968215409066	
PA0514	PA0514	0.00516862100643986	5509.0	1.8845	0.6993264328257951	5454.0	0.5117200000000003	0.2876315669973195	25	4.772702851536434	nirL
PA1001	PA1001	0.00948374212558262	5508.0	1.883	0.6740393429707049	5288.0	0.5209200000000004	0.35278574942874313	25	3.860926928612	phnA
PA5446	PA5446	0.00516862100643986	5507.0	1.8745	0.684231939944692	5300.5	0.48733999999999944	0.3051566783364464	25	4.545730434483908	
PA3365	PA3365	0.007599669686430459	5506.0	1.847	0.6923350413240179	4527.0	0.31008	0.19516956729982274	25	7.874793295201386	
PA0495	PA0495	0.00625019228917303	5505.0	1.8125	0.795288389141922	4494.5	0.2606	0.15251263608851173	25	10.17555030062784	
PA2381	PA2381	0.0470883768808435	5504.0	1.807	0.6329305320152969	5546.0	1.19666	0.3887612731484453	25	1.5699609044313079	
PA3188	PA3188	0.00857644317639251	5503.0	1.7965	0.92347201037686	2984.5	0.23168000000000014	0.25774029564660617	25	6.071305210829593	
PA4770	PA4770	0.0400271899475196	5502.0	1.796	0.7317199322300211	5445.0	0.5747200000000001	0.3443493586945288	25	3.5466306794646694	lldP
PA1337	PA1337	0.00625019228917303	5501.0	1.7775	0.6740393429707049	4841.5	0.36302000000000034	0.2354336636931944	25	6.00797684499053	ansB
PA1183	PA1183	0.0102572433220053	5500.0	1.7615	0.80272018074653	3782.0	0.2568399999999998	0.2070521633147874	25	7.267057614425512	dctA
PA4130	PA4130	0.179791760810837	5499.0	1.7425	0.6587821131526179	5522.0	0.7251600000000002	0.3219998938923221	25	3.1594420349101164	
PA2111	PA2111	0.19012593696010102	5498.0	1.7380000000000002	0.779328060430115	4449.0	0.2719600000000002	0.18269760534829124	25	8.024407310676947	
PA2664	PA2664	0.00857644317639251	5497.0	1.7245	0.9596195625774521	3420.0	0.18379999999999938	0.14497873407273662	25	10.627075824975979	fhp
PA0753	PA0753	0.00857644317639251	5496.0	1.72	0.9181508230908559	1784.5	0.09189999999999973	0.07924277043785603	25	20.545722859056184	
PA0996	PA0996	0.0216864531224871	5495.0	1.6875	0.6763227685590529	5263.0	0.5243399999999998	0.41746139342458993	25	2.786269624738636	pqsA
PA2114	PA2114	0.0783580189667288	5494.0	1.6815	0.6587821131526179	5106.0	0.43638000000000027	0.30935107752627367	25	4.024941532308869	
PA0494	PA0494	0.00857644317639251	5493.0	1.6769999999999998	0.74508957758422	3991.0	0.22675999999999974	0.13141133893237647	25	11.03588177232016	
PA3366	PA3366	0.11238300882831599	5492.0	1.6705	0.639838744231524	4773.5	0.3563999999999998	0.1879252400113761	25	6.992674320492824	amiE
PA0887	PA0887	0.00857644317639251	5491.0	1.66	0.7981372520672131	4642.0	0.35861999999999994	0.2919535236985501	25	4.4574903002154205	acsA
PA1228	PA1228	0.0357876539747202	5490.0	1.659	0.64709792201503	5515.0	0.81316	0.42884434627651696	25	1.9723706453031005	
PA2109	PA2109	0.0200637627611015	5489.0	1.6475	0.8807763801222959	3176.0	0.1779199999999999	0.14281439586633607	25	10.290139107372765	
PA3189	PA3189	0.0163370460272541	5488.0	1.6280000000000001	0.939404977046614	2805.0	0.17022000000000015	0.1809435961840038	25	8.056543755865034	
PA0752	PA0752	0.0207710578677542	5487.0	1.5845	0.954974190108058	2131.0	0.11273999999999981	0.09359533018977681	25	15.724716147865644	
PA2788	PA2788	0.0246101191949946	5486.0	1.5230000000000001	0.6329305320152969	5358.0	0.5024799999999998	0.30617837529779945	25	3.333089735705234	
PA0162	PA0162	0.0210907518209055	5485.0	1.5030000000000001	0.6587821131526179	5111.0	0.47276	0.3344051659289972	25	3.0808136505246044	opdC
PA0525	PA0525	0.0357876539747202	5484.0	1.4985	0.793681895542037	4719.0	0.34222000000000025	0.2214839196570865	25	5.220604736408022	
PA1556	PA1556	0.0162907071624209	5483.0	1.4955	0.6329305320152969	5493.0	0.78584	0.512338180144066	25	1.3851397914565895	ccoO2
PA1555	PA1555	0.0456084808009459	5482.0	1.4819999999999898	0.6587821131526179	5460.0	0.7128399999999999	0.45207405643323517	25	1.7014026552828379	ccoP2
PA4672	PA4672	0.0599945495403085	5481.0	1.4665	0.6138867193805521	5490.0	0.6304600000000001	0.2977918708315147	25	2.8074641448927133	
PA2663	PA2663	0.0303068852555733	5480.0	1.4609999999999999	0.7500538369981601	5120.0	0.3665599999999995	0.20466457925102738	25	5.347481249589535	ppyR
PA0866	PA0866	0.0207710578677542	5479.0	1.4569999999999999	0.869484006551258	3155.5	0.2404400000000001	0.2032033730855206	25	5.986908492350645	aroP2
PA5173	PA5173	0.0102572433220053	5478.0	1.4505	0.6587821131526179	5369.0	0.5878599999999999	0.31994639915669215	25	2.696201620876897	arcC
PA3179	PA3179	0.017399308518406997	5477.0	1.433	0.754790906078292	5181.5	0.3892000000000001	0.1945350761002581	25	5.365613342973962	
PA3049	PA3049	0.372734719397497	5476.0	1.4305	0.6740393429707049	5549.0	1.46676	0.622327036211669	25	-0.05826518516811959	rmf
PA2194	PA2194	0.0615371032461054	5475.0	1.422	0.6587821131526179	5489.0	0.6605199999999999	0.3277789359207411	25	2.3231511136033784	hcnB
PA0513	PA0513	0.0210907518209055	5474.0	1.413	0.727005718723629	5346.0	0.5008199999999997	0.2892497796023362	25	3.1536065515903777	nirG
PA0512	PA0512	0.0253660913364662	5473.0	1.393	0.692495015154209	5295.0	0.4246399999999996	0.24293275475598852	25	3.986123653735621	nirH
PA3713	PA3713	0.0126358285234339	5472.0	1.389	0.550068736215429	5360.0	0.5974200000000003	0.3635194481271487	25	2.177545119190233	spdH
PA1000	PA1000	0.0407771857871698	5471.0	1.3835	0.689402630039978	5203.0	0.46935999999999994	0.3511790711303852	25	2.6030594507170943	pqsE
PA3876	PA3876	0.0142005354237112	5470.0	1.38	0.799055856296338	5032.0	0.35675999999999986	0.2135818110233172	25	4.790857400718878	narK2
PA2321	PA2321	0.0169970456367763	5469.0	1.3775	0.841798926771822	4396.0	0.2895199999999995	0.2219713044517243	25	4.901444367718355	
PA1658	PA1658	0.0530709759581141	5468.0	1.3635	0.555402983929542	5439.0	0.6470999999999998	0.2934360023923445	25	2.441418210987359	hsiC2
PA3610	PA3610	0.0335807651945074	5467.0	1.3495	0.550068736215429	5452.0	0.6538200000000001	0.35345402459160097	25	1.9682333531322056	potD
PA1634	PA1634	0.0256280130072649	5466.0	1.3485	0.7743416503268771	3719.0	0.22086000000000033	0.1990362990344557	25	5.66549923541731	kdpB
PA4129	PA4129	0.107715017382654	5465.0	1.3335	0.6740393429707049	5479.0	0.6252599999999997	0.3219404745704816	25	2.199909784393845	
PA4658	PA4658	0.0357876539747202	5464.0	1.3235	0.9415699593265179	657.5	0.09712000000000015	0.08829157188920474	25	13.89011401381503	
PA1514	PA1514	0.0252447477621668	5463.0	1.3130000000000002	0.929260479807716	826.5	0.09102000000000007	0.08513304293868562	25	14.353768616964537	
PA3894	PA3894	0.0461112438770811	5462.0	1.3065	0.738315508702731	4463.0	0.32144000000000006	0.21961188871886406	25	4.485458441009191	
