	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)	Gene Name
PA3600	PA3600	7.999092402783081e-08	5549.0	6.138	0.0382401883835575	5299.0	0.9757600000000001	1.1204225497552252	25	4.607404591355089	
PA4470	PA4470	1.366804813187e-08	5548.0	6.0165	0.019495442349598	5542.0	2.21934	1.1482256485551958	25	3.3069806486015527	fumC1
PA3601	PA3601	1.2735925683026398e-08	5547.0	5.8365	0.0240127468018002	5395.0	0.9494199999999996	0.8629842563260738	25	5.663000181261063	
PA2426	PA2426	4.21456030286757e-08	5546.0	5.534	0.0145918129807462	5543.0	2.23118	0.9238506923018822	25	3.575058207480082	pvdS
PA4469	PA4469	4.21456030286757e-08	5545.0	5.423999999999991	0.0163978732792739	5549.0	2.2625	1.1400957470756565	25	2.77301271240528	
PA2398	PA2398	4.21456030286757e-08	5544.0	5.3695	0.0133946840911905	5537.0	1.72058	0.8536070485494676	25	4.274706969911509	fpvA
PA4468	PA4468	4.21456030286757e-08	5543.0	5.329	0.0102070617149701	5548.0	2.2199200000000006	1.0517032780209443	25	2.956233060194078	sodM
PA2386	PA2386	5.3530712915775996e-08	5542.0	5.291	0.0118768216317035	5545.0	2.21284	0.9555077807986004	25	3.2214912969388028	pvdA
PA2412	PA2412	2.85720822839366e-07	5541.0	4.876	0.0139017748652727	5547.0	2.3834600000000004	1.0592188544709098	25	2.3531869636563902	
PA4570	PA4570	1.46840621560221e-07	5540.0	4.868	0.0152865876353284	5546.0	2.12306	1.0881655082446478	25	2.522539061569728	
PA2396	PA2396	2.5826950018649604e-07	5539.0	4.706	0.0110975843325125	5532.0	1.64076	0.8196320709114956	25	3.7397755758766387	pvdF
PA1927	PA1927	2.5826950018649604e-07	5538.0	4.695	0.151250682783486	3185.0	0.26045999999999975	0.6960960769414907	25	6.370586111452456	metE
PA4710	PA4710	2.5826950018649604e-07	5537.0	4.624	0.0382401883835575	5451.0	1.1095400000000004	0.8162750879248163	25	4.305484819994533	phuR
PA4471	PA4471	8.82098602630193e-06	5536.0	4.3975	0.0177235564840927	5541.0	1.9800400000000005	1.2251715094222517	25	1.9731604770502615	
PA2393	PA2393	8.31603736789583e-07	5535.0	4.38	0.0191051676802892	5505.0	1.4050399999999998	0.8746756889460993	25	3.4012149161074126	
PA0781	PA0781	5.3530712915775996e-08	5534.0	4.2589999999999995	0.20327533471607398	3428.0	0.24576000000000003	0.6991710138919279	25	5.7399976833426525	
PA2033	PA2033	3.13644915111555e-07	5533.0	4.1495	0.0113377175640315	5528.0	1.6652999999999993	0.9588541555766795	25	2.5908006817845397	
PA2394	PA2394	1.23408657392688e-06	5532.0	4.0835	0.0154611327685475	5518.0	1.4906400000000002	0.9026265091387465	25	2.87257240259209	pvdN
PA4837	PA4837	5.3530712915775996e-08	5531.0	4.061	0.160119208139145	3982.0	0.3591000000000002	0.7092012378960808	25	5.2198160440075805	
PA2452	PA2452	8.338535561230851e-07	5530.0	4.013	0.0150131867526359	5453.0	1.2273199999999997	0.840657181911866	25	3.313693215187507	
PA4063	PA4063	7.728841622788779e-08	5529.0	3.9495	0.0577263817991628	2488.0	0.0433599999999999	0.6810874962146936	25	5.735151535902959	
PA2397	PA2397	8.139794497537629e-06	5528.0	3.8775	0.0162116004047535	5521.0	1.4265800000000002	0.69519208496645	25	3.525529206964837	pvdE
PA2424	PA2424	5.71187532486031e-06	5527.0	3.6630000000000003	0.0175320119105667	5509.0	1.4841799999999998	0.8539950097434217	25	2.5513263838094504	pvdL
PA2413	PA2413	1.42427489046013e-06	5526.0	3.5975	0.0150131867526359	5510.0	1.5317199999999997	0.8967630107782096	25	2.3035963517354707	pvdH
PA1925	PA1925	5.25681822058918e-07	5525.0	3.594	0.14189721418689302	3192.0	0.10632000000000039	0.4707149455880914	25	7.409324969791727	
PA3049	PA3049	4.24870375603334e-07	5524.0	3.5865	0.01584119210895	5511.0	1.4399799999999996	0.9293723181983278	25	2.3096448624177053	rmf
PA2399	PA2399	3.13644915111555e-07	5523.0	3.576	0.0150131867526359	5520.0	1.4498399999999998	0.7242420566817885	25	2.935703581950606	pvdD
PA2395	PA2395	1.35219821288875e-06	5522.0	3.5705	0.0150131867526359	5469.0	1.14726	0.7023210347364894	25	3.4503309457464826	pvdO
PA2401	PA2401	9.593139948945922e-07	5521.0	3.5675	0.0150131867526359	5513.0	1.3504999999999996	0.7833135547148409	25	2.8302842286535967	
PA4834	PA4834	2.90192151793651e-07	5520.0	3.5125	0.32811433565385306	3001.5	0.03431999999999992	0.5099667448308111	25	6.8204055171360976	
PA2411	PA2411	2.1463012301903e-06	5519.0	3.424	0.0154611327685475	5523.0	1.7132399999999999	0.931699568441101	25	1.836171291634712	
PA2400	PA2400	4.13905036587178e-07	5518.0	3.4005	0.0150131867526359	5524.0	1.4824400000000002	0.8017065693464994	25	2.392471352160032	pvdJ
PA0672	PA0672	2.18843632604978e-07	5517.0	3.3675	0.0150131867526359	5501.0	1.5258199999999993	0.8724420931118202	25	2.11094812428308	hemO
PA4168	PA4168	1.0371480413010799e-06	5516.0	3.3455	0.0782168321269438	5271.0	0.6846799999999998	0.49305881748529756	25	5.396556973812445	fpvB
PA4227	PA4227	5.51888319234151e-07	5515.0	3.3310000000000004	0.0156339444583315	5475.0	1.1926199999999998	0.7515401863284937	25	2.8453302150702657	pchR
PA3407	PA3407	2.77855767912022e-06	5514.0	3.31	0.0262748762601724	5465.5	1.28662	0.9375012697769177	25	2.1582690767783936	hasAp
PA5535	PA5535	3.3171894058245e-07	5513.0	3.2785	0.15672017937218	4423.0	0.3542999999999996	0.5913512774428864	25	4.944945773423859	
PA2404	PA2404	4.93681711970635e-07	5512.0	3.273	0.013672666523275	5489.0	1.1546999999999998	0.6138665367976989	25	3.450750078429656	fpvH
PA2402	PA2402	1.72818432904252e-06	5511.0	3.2539999999999996	0.0152865876353284	5503.0	1.3276199999999994	0.8337268522523832	25	2.3105648987983565	
PA1708	PA1708	4.93681711970635e-07	5510.0	3.2305	0.0150131867526359	5431.0	0.90106	0.6812553259730647	25	3.4193347357288784	popB
PA1863	PA1863	2.1124490769586897e-06	5509.0	3.2155	0.055703427459160994	4679.0	0.23290000000000025	0.6306119547709192	25	4.729691496386999	modA
PA3785	PA3785	2.85720822839366e-07	5508.0	3.2055	0.0162922464636781	5386.0	0.7717199999999997	0.6283071349533867	25	3.873551428284447	
PA4836	PA4836	3.99201863477301e-07	5507.0	3.1855	0.2431630482044	3856.5	0.23511999999999975	0.5225924415833051	25	5.645661447113923	
PA4066	PA4066	6.68901388244207e-07	5506.0	3.1765	0.14452905843193	4391.0	0.2593999999999999	0.42859406785442056	25	6.80620712881832	
PA2405	PA2405	4.93681711970635e-07	5505.0	3.1595	0.0125252867670766	5514.0	1.30484	0.7126491177290547	25	2.6024869095609144	fpvJ
PA5536	PA5536	0.000108508443117802	5504.0	3.1515	0.312427292039508	2841.0	0.025000000000000067	0.4393188382788368	25	7.116699143266883	dksA2
PA3530	PA3530	4.79738871207582e-06	5503.0	3.1175	0.0223395665774308	5530.0	1.6252600000000004	1.1213271630825086	25	1.3307802121709587	bfd
PA5538	PA5538	1.9843862004710802e-05	5502.0	3.11	0.36511596089792997	2368.0	0.06131999999999963	0.5105870167431469	25	5.970931300694731	amiA
PA4467	PA4467	3.0591115438316298e-06	5501.0	3.0785	0.0195212941535753	5508.0	1.41106	0.8441473301503714	25	1.9752949993965772	
PA2385	PA2385	2.17393296319104e-06	5500.0	3.0415	0.0276803351784185	5445.0	1.1018800000000004	0.729747348973145	25	2.65793360226565	pvdQ
PA1041	PA1041	1.35219821288875e-06	5499.0	3.0375	0.010598568293011	5506.0	1.25548	0.4983928019143133	25	3.5755331801649413	
PA1871	PA1871	6.68144814196224e-06	5498.0	3.031	0.00532766073685199	5540.0	1.9614600000000004	0.9626121138167059	25	1.1110809688019927	lasA
PA4552	PA4552	4.24870375603334e-07	5497.0	2.9695	0.054281102797890994	4580.0	0.26381999999999983	0.7718792527548161	25	3.5053150999246343	pilW
PA2366	PA2366	2.02621762859125e-06	5496.0	2.958	0.0121725086112526	5429.0	0.96158	0.6091665699954325	25	3.277297373713349	hsiC3
PA1922	PA1922	4.49832292022336e-07	5495.0	2.931	0.174561391353246	3450.5	0.12851999999999975	0.34572922569548564	25	8.105996808231632	
PA1709	PA1709	5.093720152596411e-06	5494.0	2.9275	0.0150131867526359	5390.0	0.9539399999999995	0.6402626791663975	25	3.0824223622865476	popD
PA1183	PA1183	1.0825491871071e-06	5493.0	2.9265	0.0444013392535194	2143.0	0.048080000000000005	0.6818721880479752	25	4.221348297310932	dctA
PA4708	PA4708	2.26168932050233e-06	5492.0	2.9245	0.013672666523275	5467.0	1.14644	0.733261752945927	25	2.424863962775268	phuT
PA3334	PA3334	3.29758900350144e-06	5491.0	2.9115	0.0150131867526359	5412.0	0.8390400000000001	0.6003707347686649	25	3.451967059651169	
PA2367	PA2367	1.23408657392688e-06	5490.0	2.9075	0.0131280939735466	5402.0	0.86056	0.5133083933335462	25	3.987739196522168	hcp3
PA4306	PA4306	3.02018578803411e-06	5489.0	2.888	0.00454500150560896	5534.0	1.8897400000000002	0.8092783838086867	25	1.2335186753684357	flp
PA3841	PA3841	9.192501628530821e-07	5488.0	2.8615	0.0381820220610083	5298.0	0.8667600000000002	0.8693996266581514	25	2.29438791878425	exoS
PA4065	PA4065	5.29312985262857e-07	5487.0	2.8495	0.0882470022054146	3799.0	0.12512000000000034	0.3326519790511794	25	8.1898806307142	
PA4709	PA4709	8.528844217536209e-07	5486.0	2.8435	0.0210341203747651	5410.0	0.9656999999999999	0.6055193535305048	25	3.1011395243627016	phuS
PA3479	PA3479	3.42552359175411e-05	5485.0	2.8215	0.0063720157416505	5544.0	2.1455400000000004	1.0873440972540998	25	0.621661534473788	rhlA
PA0931	PA0931	1.7693212806787102e-06	5484.0	2.792	0.0908802951202349	5074.0	0.3823799999999997	0.3432991370510562	25	7.01900977875641	pirA
PA0434	PA0434	2.17393296319104e-06	5483.0	2.778	0.171835222514826	3356.5	0.14347999999999975	0.43415366615212786	25	6.06817402545407	
