	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
PAX7	PAX7	5.94766566495663e-13	17568.0	10.6941243975185	0.06427895851177814	13653.0	1.5343547810954874	1.5975813345922962	24	5.733523181629179
PRAME	PRAME	2.96345053790788e-15	17567.0	8.66496299445091	0.0001698403456735495	16400.0	2.2485862760795223	1.9024036671076756	24	3.3727735229434996
SLCO1B3	SLCO1B3	0.0005290056455446299	17566.0	8.32567155901911	3.5448694180529298e-06	16393.0	2.6654844807594738	1.96166878117294	24	2.8853938710668787
KCNC2	KCNC2	1.98434588484466e-10	17565.0	8.23084438600122	0.006451589210592181	13518.0	1.697477714024389	1.5436633152241823	20	4.232378011152002
HOTAIR	HOTAIR	3.11588592596846e-10	17564.0	8.22842028257687	0.0327021895290586	14581.0	2.0175935378096956	2.063940468530003	23	3.0092082787594654
HOXB13	HOXB13	2.88203838168249e-07	17563.0	8.19796498423657	0.00029443184745942	16122.0	2.5931476754236136	2.4331351472581466	23	2.303537193619893
PADI3	PADI3	3.6540573516691e-10	17562.0	8.12594340875217	0.0025085296584716897	11529.0	1.8984601391373672	2.2136090596863034	24	2.8132714954181277
HOXC12	HOXC12	3.15985319198548e-08	17561.0	8.059173365793379	0.005832312806437117	14215.0	2.071223126467696	2.212468416470037	24	2.706456822050086
HOXC13	HOXC13	3.32595465039426e-10	17560.0	8.00656640517351	0.0002658404031501906	14030.0	1.8804081926265994	1.6361923208280378	24	3.7441553383202586
HOXC11	HOXC11	2.83279464983229e-10	17559.0	7.7655142202497105	0.0011601719701823405	13427.0	2.105888069184078	2.1869598161071746	24	2.587896727403004
SPP2	SPP2	4.68281555916394e-05	17558.0	7.70515423679875	0.00760695741016691	16963.0	2.9659551685110968	2.178966732665261	19	2.174975412539124
CHRM2	CHRM2	5.960934292287599e-17	17557.0	7.4104438315977	5.345763720288416e-06	16957.0	2.7544919304501296	2.354837400735803	22	1.9771861529347
