	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
IDI2	IDI2	5.2927861501377e-19	33282.0	11.3166265574054	0.8413154178184721	2823.0	0.2510229563708425	0.2195655519397907	25	50.39772178865731
SAMD3	SAMD3	1.0668172735391402e-16	33281.0	10.818437093374	0.719884906921144	10970.0	0.5873004966422907	0.6164821335307936	24	16.595998554142458
NDN	NDN	6.39678814952227e-17	33279.0	10.6804640252165	0.890896413920746	3537.0	0.21833972587989514	0.19188528166509183	25	54.52280763042961
TMEM200A	TMEM200A	6.150076650705608e-164	33278.0	10.3735452520897	0.726424234295378	6163.0	0.3932956169536774	0.48733157841910757	25	20.479382164217068
ADCYAP1R1	ADCYAP1R1	1.66259281570459e-13	33277.0	10.227203724305001	0.5863823314751839	15392.0	0.9465393531303689	0.7313977409255695	25	12.688943172602821
NRXN1	NRXN1	8.7853134640858e-15	33275.0	10.095468805023499	0.28849284226866806	16800.0	1.4664493703148045	1.1615293680019514	25	7.429015290032854
LYPD1	LYPD1	7.960649130895151e-14	33274.0	10.0065752939727	0.742839696919532	9802.0	0.3848260369999976	0.2647005005419913	25	36.349569559829135
BCL11A	BCL11A	2.58216181593213e-14	33273.0	9.956787136269211	0.54046913241002	12791.0	0.6468874505209441	0.6377515371965049	25	14.59800430536585
ITM2A	ITM2A	5.34433098036712e-13	33272.0	9.69491760579283	0.8410656401448939	10217.0	0.4389593073906381	0.37649582050036623	25	24.58449149873946
USH1C	USH1C	1.1378034057087e-12	33271.0	9.67737844228105	0.467828095714866	12490.0	0.752752560256175	0.8896077692897268	24	10.032090759673109
NCKAP5	NCKAP5	2.93233549741972e-13	33270.0	9.40026154544354	0.724656072676986	5254.0	0.3213480829043144	0.2947441122516034	25	30.80269659394981
ANO5	ANO5	3.85782596684653e-12	33268.0	9.148414150653911	0.5083316603394625	14633.0	0.6420509227499209	0.45366345816829307	25	18.750382193552014
SPOCK1	SPOCK1	4.442710362036899e-101	33264.0	8.725020519160779	0.587941094565567	11600.0	0.469152390518534	0.2875748486521114	25	28.708588972012762
C4BPB	C4BPB	2.2495754165440798e-10	33263.0	8.714880621350241	0.34557467868555397	17237.0	1.6977155233424253	1.5027766384399104	24	4.669466451975593
FAM110B	FAM110B	2.28288974958396e-10	33261.0	8.54014682711819	0.704718959949124	15389.0	0.7759632141844263	0.3457320482175768	25	22.45722851833392
CNKSR2	CNKSR2	1.66489285924228e-10	33260.0	8.475096480401259	0.693273095277066	7964.0	0.47413540316950076	0.44116022285779505	25	18.13617969771226
DPYSL4	DPYSL4	6.54587940004664e-14	33259.0	8.434417150147981	0.547545351565425	12247.0	0.491091622915221	0.27953077405499144	25	28.416640543735227
TSHZ3	TSHZ3	1.3238395521613902e-09	33258.0	8.42574874220087	0.5980567486627449	9364.0	0.3805484183916134	0.2843292426484784	25	28.29536719075951
ZNF214	ZNF214	5.99536286905327e-10	33257.0	8.34601031134059	0.7592561885078689	3941.0	0.3204551757219678	0.4322407120843811	25	18.567328137410367
MMP1	MMP1	4.1824721755401096e-13	33256.0	8.332232470599951	0.44827258775033146	16783.0	1.7248512417023585	1.6344627815068011	25	4.0425400343507905
RELN	RELN	2.21554835659809e-12	33254.0	8.240852492007269	0.492575120706757	12591.0	0.6213621601504618	0.46483531803861916	25	16.39180594970146
ZNF418	ZNF418	1.19190594689199e-09	33253.0	8.23275817825097	0.47876953174675396	11444.0	0.621350066944172	0.6811824702565363	25	11.173816772531312
SLA	SLA	2.2438434738090103e-09	33252.0	8.212591377275809	0.571585469269848	14282.0	0.7622770194709381	0.6371947390655919	25	11.692366400780887
CAPN6	CAPN6	4.3077784859124e-18	33248.0	8.096842707598869	0.523034945414504	16596.0	1.2541090197675147	1.155545545089634	25	5.921647759284619
LCK	LCK	6.753023561676011e-13	33247.0	8.09196326998882	0.4822243900350735	15027.0	1.0111683124444568	0.9720997590979942	25	7.284020895257286
PTPRD	PTPRD	9.53309275559375e-09	33246.0	8.08629899579162	0.222305813756193	14938.0	0.7636321051561368	0.5254186030013254	25	13.93682456008702
MMP10	MMP10	3.2795857286764697e-09	33245.0	8.06822356693613	0.7230731123738271	12535.0	1.0636416783149387	1.359092290748395	24	5.153867722083878
HMGCS2	HMGCS2	4.534769402808449e-09	33244.0	8.04737951701617	0.19723632132885652	17102.0	1.8525726159195217	1.8582055197020548	24	3.333757668575823
KCNA4	KCNA4	2.7151824593432402e-08	33243.0	8.01351273697308	0.5154396413006335	15326.0	1.1036224722486665	0.8756356033502617	25	7.891285185625782
ADCY8	ADCY8	5.02322955191493e-07	33242.0	8.006896453741179	0.6729340894696225	12593.0	0.9118064853605073	1.1649559226752402	25	6.090436410750453
AADACP1	AADACP1	7.49860398170631e-09	33241.0	7.984243257177969	0.5574095135213211	14350.0	1.1246958170027264	1.342180576397698	24	5.110748554107155
RAMP3	RAMP3	4.5576985653235194e-08	33240.0	7.93693494391413	0.801717661931037	11877.0	0.5838141560568164	0.6465661413949552	25	11.372573225057971
JAKMIP1	JAKMIP1	1.40456090735654e-09	33239.0	7.92564186824754	0.4865995865107655	14291.0	0.9385977419019315	0.5785466380557084	25	12.076890032282625
CD163L1	CD163L1	7.8013334356897e-08	33238.0	7.921901841827849	0.6846491666722785	7519.0	0.45831899503245355	0.6050307827363448	25	12.335872917143478
PARD3B	PARD3B	1.47713103482177e-08	33237.0	7.91592644506541	0.695817340922804	8479.0	0.2874454394588013	0.18500724854274558	25	41.233416883360995
CD1D	CD1D	2.1129974367945302e-08	33235.0	7.9122793326564596	0.7177821390520156	10384.0	0.5549833310582342	0.5822615968949839	25	12.635722570116847
CSF3	CSF3	5.72040900639714e-16	33233.0	7.7627139609937	0.10960806737631851	17448.0	1.5699240255851055	1.2549070052764841	25	4.934859642483376
TNFSF8	TNFSF8	1.40413452335399e-07	33231.0	7.68371889000833	0.541360385490377	15104.0	0.9069854579000329	0.8246438321163599	25	8.21777010653986
POU4F1	POU4F1	4.6544651232063e-14	33229.0	7.64334535755909	0.34424107787189095	12653.0	0.9739696857321601	1.0480925230592966	25	6.363346293473754
TCN1	TCN1	1.4159640625744798e-25	33228.0	7.64021981137141	0.30539075100302504	17392.0	1.8982886771577985	1.821902871741104	24	3.151612099236842
ZFP3	ZFP3	1.0382981022844301e-07	33224.0	7.562156488126991	0.45814081657747097	10365.0	0.5099450948016278	0.4723557893887675	25	14.929871829137495
RCAN2	RCAN2	3.50863103297212e-16	33223.0	7.51977436740016	0.661822948759193	12050.0	0.7092156539261883	0.6453907192468122	25	10.552613340058672
MYCT1	MYCT1	8.5259515562364195e-16	33221.0	7.47290994331836	0.803307171052825	10571.0	0.6260298955419669	0.8381931537752431	25	8.168618434710273
CLSTN2	CLSTN2	1.41109065160622e-07	33220.0	7.463583841599609	0.413443565352336	14884.0	0.7869492021165405	0.5328539215458704	25	12.52995308754299
THSD7A	THSD7A	5.554334698966121e-09	33219.0	7.45898499095099	0.7255513648334491	8326.0	0.3867828274903163	0.280054507871065	25	25.252948853501984
MYH13	MYH13	6.25386117179461e-08	33218.0	7.43738107022621	0.655411477226397	9721.0	0.7024207878805206	0.9069783371864248	25	7.42571239709924
PABPC5	PABPC5	4.31260119655005e-07	33217.0	7.4072378107227	0.744189649387446	7848.0	0.5514299341813097	0.8168870898436443	25	8.39260157466024
LSAMP.AS1	LSAMP.AS1	2.11487983701324e-06	33216.0	7.32686598432587	0.790042531608773	8329.0	0.5842781495191838	0.7373884130912368	24	9.143875486923916
CHST9	CHST9	1.3779619890613898e-06	33214.0	7.28247245975072	0.7527706966353149	7369.0	0.6623811590015847	0.9523520575561345	25	6.951306765417397
CNTNAP4	CNTNAP4	2.2852239313089002e-17	33211.0	7.23088038469468	0.7938344447164595	9216.0	0.7337521496143837	0.8973693632063903	25	7.240193950755582
NPAS3	NPAS3	4.9133170473548e-06	33210.0	7.22254082143315	0.20448549877507996	15351.0	0.8287531028514811	0.5345915333686507	25	11.960136514493874
GABRE	GABRE	8.66663116211635e-07	33208.0	7.130263652366789	0.622466430562141	13520.0	1.4312000243322758	1.8679008415410479	25	3.0510525512332314
ZNF215	ZNF215	1.09164463611334e-09	33207.0	7.12804940837212	0.6446097885449106	5815.0	0.3510693719819122	0.3870239668949475	25	17.5104918973396
